[00:00:00 -> 00:00:02]  Oh my God!
[00:03:55 -> 00:03:56]  It's not just books.
[00:03:56 -> 00:03:58]  It's actually applied concepts to real-time events.
[00:03:58 -> 00:03:59]  When it comes to politics.
[00:03:59 -> 00:04:03]  I actually had this political science professor before.
[00:04:03 -> 00:04:04]  When I was a freshman.
[00:04:04 -> 00:04:06]  Since I was so surprised.
[00:04:06 -> 00:04:08]  Because every week, we will have a quiz.
[00:04:08 -> 00:04:11]  On the news.
[00:04:12 -> 00:04:14]  Basically, just the news.
[00:04:14 -> 00:04:17]  It helped me develop this habit.
[00:04:17 -> 00:04:18]  Of reading the news.
[00:04:18 -> 00:04:20]  Because it's not just helpful for your course.
[00:04:20 -> 00:04:21]  It's also helpful.
[00:04:23 -> 00:04:25]  It's not just helpful for your course.
[00:04:25 -> 00:04:26]  For you as a person.
[00:04:26 -> 00:04:28]  Because of course, you have to know what's happening around you.
[00:04:28 -> 00:04:30]  You have to have opinions on it.
[00:04:30 -> 00:04:32]  You have to be critical.
[00:04:32 -> 00:04:34]  So of course.
[00:04:34 -> 00:04:36]  We need to be critical.
[00:04:36 -> 00:04:37]  When it comes to.
[00:04:37 -> 00:04:39]  Airing out our concerns.
[00:04:40 -> 00:04:41]  Right?
[00:04:41 -> 00:04:42]  As a good citizen.
[00:04:43 -> 00:04:44]  Wow.
[00:04:44 -> 00:04:45]  Next question.
[00:04:46 -> 00:04:48]  Book recommendations for Polsci.
[00:04:48 -> 00:04:49]  Guys.
[00:04:49 -> 00:04:50]  As a 4th year.
[00:04:50 -> 00:04:51]  Even though I'm already a 4th year.
[00:04:51 -> 00:04:53]  This is still my favorite book.
[00:04:54 -> 00:04:55]  And if you're a Polsci student.
[00:04:55 -> 00:04:57]  You probably know this.
[00:04:57 -> 00:05:00]  Because we've read this.
[00:05:02 -> 00:05:03]  I mean.
[00:05:03 -> 00:05:04]  I've read this so many times.
[00:05:05 -> 00:05:06]  Sorry.
[00:05:06 -> 00:05:07]  I didn't read this so many times.
[00:05:07 -> 00:05:08]  But I love this book also.
[00:05:08 -> 00:05:09]  This is my best friend.
[00:05:09 -> 00:05:10]  This book will be your best friend.
[00:05:11 -> 00:05:13]  Politics by Andrew Hayward.
[00:05:14 -> 00:05:15]  So even though I'm already a 3rd year.
[00:05:15 -> 00:05:16]  And this book was given to us.
[00:05:16 -> 00:05:18]  During my first class.
[00:05:18 -> 00:05:19]  As a freshman.
[00:05:19 -> 00:05:20]  But it was still very useful to me.
[00:05:20 -> 00:05:21]  Because all the concepts there.
[00:05:21 -> 00:05:22]  Were very easy to digest.
[00:05:22 -> 00:05:24]  Like it's a dummy handbook.
[00:05:24 -> 00:05:27]  For those who want to read up on political science.
[00:05:27 -> 00:05:28]  And those who are.
[00:05:28 -> 00:05:29]  If you're planning to transfer to political science.
[00:05:29 -> 00:05:30]  And you want to read up.
[00:05:30 -> 00:05:31]  Go ahead.
[00:05:31 -> 00:05:32]  And read Andrew Hayward.
[00:05:32 -> 00:05:33]  Because you'll sleep with it.
[00:05:33 -> 00:05:34]  You'll read it.
[00:05:34 -> 00:05:36]  Because you have to impart everything.
[00:05:36 -> 00:05:37]  Andrew Hayward is saying in your brain.
[00:05:38 -> 00:05:39]  Next is.
[00:05:39 -> 00:05:41]  Is it so hard to study political science?
[00:05:43 -> 00:05:44]  For me.
[00:05:44 -> 00:05:45]  Okay.
[00:05:45 -> 00:05:46]  I'll flash my course curriculum here.
[00:05:47 -> 00:05:48]  That's it.
[00:05:48 -> 00:05:49]  Our units are only a few.
[00:05:49 -> 00:05:51]  Compared to other majors.
[00:05:52 -> 00:05:53]  But for me.
[00:05:53 -> 00:05:54]  It actually depends on you.
[00:05:54 -> 00:05:55]  I mean if you're passionate about politics.
[00:05:55 -> 00:05:56]  If you love what you're studying.
[00:05:56 -> 00:05:57]  It won't feel like it's hard for you.
[00:05:57 -> 00:05:58]  Although the requirements might be hard.
[00:05:58 -> 00:05:59]  But if you enjoy.
[00:05:59 -> 00:06:00]  And you love learning.
[00:06:00 -> 00:06:01]  It'll come off easy for you.
[00:06:02 -> 00:06:03]  Oh and also for us.
[00:06:03 -> 00:06:04]  For UP Dalaman.
[00:06:04 -> 00:06:05]  It's not that hard.
[00:06:05 -> 00:06:06]  Because we don't have thesis.
[00:06:06 -> 00:06:07]  We don't have thesis.
[00:06:07 -> 00:06:08]  We have a thesis proposal.
[00:06:08 -> 00:06:09]  But the catch is.
[00:06:10 -> 00:06:11]  Almost every year.
[00:06:11 -> 00:06:12]  We have a lot of research papers.
[00:06:12 -> 00:06:13]  And I think that compensates for it.
[00:06:13 -> 00:06:14]  Basically.
[00:06:14 -> 00:06:15]  Next is.
[00:06:15 -> 00:06:16]  Is there math in political science?
[00:06:17 -> 00:06:18]  Oh my god.
[00:06:18 -> 00:06:19]  A lot of people are asking this.
[00:06:20 -> 00:06:21]  Actually.
[00:06:21 -> 00:06:22]  When I went into political science.
[00:06:22 -> 00:06:23]  When I was choosing my pre-law.
[00:06:23 -> 00:06:24]  I was like economics.
[00:06:24 -> 00:06:25]  Or political science.
[00:06:25 -> 00:06:26]  But I was like.
[00:06:26 -> 00:06:27]  I hate math.
[00:06:27 -> 00:06:28]  I hate.
[00:06:28 -> 00:06:29]  I hate math.
[00:06:29 -> 00:06:30]  I hate math so much.
[00:06:31 -> 00:06:32]  I can't even.
[00:06:32 -> 00:06:33]  But I chose political science.
[00:06:33 -> 00:06:34]  Because.
[00:06:34 -> 00:06:35]  I wanted to learn how to read a lot.
[00:06:35 -> 00:06:36]  And then at the same time.
[00:06:36 -> 00:06:37]  I hate math.
[00:06:38 -> 00:06:39]  But lo and behold guys.
[00:06:39 -> 00:06:40]  I was shocked.
[00:06:40 -> 00:06:41]  By how much.
[00:06:41 -> 00:06:42]  Math.
[00:06:42 -> 00:06:43]  Subjects we needed.
[00:06:43 -> 00:06:44]  And I think I did math 2.
[00:06:44 -> 00:06:45]  Math 1.
[00:06:45 -> 00:06:46]  I also did math 11.
[00:06:46 -> 00:06:47]  Math 14.
[00:06:47 -> 00:06:48]  So we had algebra.
[00:06:48 -> 00:06:49]  We had trigonometry.
[00:06:49 -> 00:06:50]  We had pre-calculus.
[00:06:51 -> 00:06:52]  And the next is.
[00:06:53 -> 00:06:54]  Oh.
[00:06:54 -> 00:06:55]  I had this question a lot of times.
[00:06:55 -> 00:06:56]  In the comments from.
[00:06:56 -> 00:06:57]  My old video.
[00:06:58 -> 00:06:59]  Why is political science.
[00:06:59 -> 00:07:00]  Not the best pre-law?
[00:07:01 -> 00:07:02]  It's not the best pre-law.
[00:07:03 -> 00:07:04]  According to my professors.
[00:07:04 -> 00:07:05]  Because actually.
[00:07:05 -> 00:07:06]  There's really no best pre-law.
[00:07:06 -> 00:07:07]  They say that English.
[00:07:07 -> 00:07:08]  Actually.
[00:07:08 -> 00:07:09]  English is a good pre-law.
[00:07:09 -> 00:07:10]  Because law is just all about.
[00:07:10 -> 00:07:11]  Manipulating the language.
[00:07:11 -> 00:07:12]  Being able to read fast.
[00:07:12 -> 00:07:13]  Digest things fast.
[00:07:13 -> 00:07:14]  Write really good.
[00:07:14 -> 00:07:15]  Write really fast.
[00:07:15 -> 00:07:16]  In a comprehensive manner.
[00:07:16 -> 00:07:17]  And the constitution is written in English.
[00:07:17 -> 00:07:18]  The laws are written in English.
[00:07:18 -> 00:07:19]  So.
[00:07:19 -> 00:07:20]  It's easier for you.
[00:07:20 -> 00:07:21]  To digest everything.
[00:07:21 -> 00:07:22]  If you have a background.
[00:07:22 -> 00:07:23]  As an English major.
[00:07:23 -> 00:07:24]  Well that's what they say.
[00:07:24 -> 00:07:25]  But for me.
[00:07:25 -> 00:07:26]  Political science was helpful.
[00:07:26 -> 00:07:27]  In terms of.
[00:07:27 -> 00:07:28]  Applying to the law schools.
[00:07:28 -> 00:07:29]  I wanted to get into.
[00:07:29 -> 00:07:30]  I'll make a next video on that.
[00:07:30 -> 00:07:31]  But basically for me.
[00:07:31 -> 00:07:32]  At the NAEO UP.
[00:07:32 -> 00:07:33]  The entrance tests.
[00:07:33 -> 00:07:34]  Had a lot of.
[00:07:34 -> 00:07:35]  Political science concepts.
[00:07:35 -> 00:07:36]  Political science.
[00:07:36 -> 00:07:37]  Passages to it.
[00:07:37 -> 00:07:38]  So it was just easy for me.
[00:07:38 -> 00:07:39]  To answer.
[00:07:39 -> 00:07:40]  Some of the passages.
[00:07:40 -> 00:07:41]  That I don't read anymore.
[00:07:41 -> 00:07:42]  I would just rely upon.
[00:07:42 -> 00:07:43]  My stock knowledge.
[00:07:43 -> 00:07:44]  When it came to political science concepts.
[00:07:44 -> 00:07:45]  Next is.
[00:07:45 -> 00:07:46]  Best school.
[00:07:46 -> 00:07:47]  For incoming.
[00:07:47 -> 00:07:48]  Political science students.
[00:07:48 -> 00:07:49]  Of course.
[00:07:49 -> 00:07:50]  Guys.
[00:07:50 -> 00:07:51]  Are you asking?
[00:07:51 -> 00:07:52]  Sorry.
[00:07:52 -> 00:07:53]  Of course.
[00:07:53 -> 00:07:54]  For me.
[00:07:54 -> 00:07:55]  Based on.
[00:07:55 -> 00:07:56]  CHED standards.
[00:07:56 -> 00:07:57]  It's.
[00:07:57 -> 00:07:58]  UP Dalaman.
[00:07:58 -> 00:07:59]  Because UP Dalaman.
[00:07:59 -> 00:08:00]  Is the only.
[00:08:00 -> 00:08:01]  CHED.
[00:08:01 -> 00:08:02]  Accredited.
[00:08:02 -> 00:08:03]  Center.
[00:08:03 -> 00:08:04]  Of excellence.
[00:08:04 -> 00:08:05]  For political science.
[00:08:05 -> 00:08:06]  So.
[00:08:06 -> 00:08:07]  For me.
[00:08:07 -> 00:08:08]  Of course.
[00:08:08 -> 00:08:09]  First choice for an UP.
[00:08:09 -> 00:08:10]  So that's basically it.
[00:08:10 -> 00:08:11]  For part 2.
[00:08:11 -> 00:08:12]  Now.
[00:08:12 -> 00:08:13]  Part 1.
[00:08:13 -> 00:08:14]  Now.
[00:08:14 -> 00:08:15]  Let's go to.
[00:08:15 -> 00:08:16]  Part.
[00:08:16 -> 00:08:17]  Part 2.
[00:08:17 -> 00:08:18]  College.
[00:08:18 -> 00:08:19]  Question and answer.
[00:08:19 -> 00:08:20]  So for the first question.
[00:08:20 -> 00:08:21]  How.
[00:08:21 -> 00:08:22]  How do you balance your time.
[00:08:22 -> 00:08:23]  With your.
[00:08:23 -> 00:08:24]  With your.
[00:08:24 -> 00:08:25]  With your.
[00:08:25 -> 00:08:26]  With your.
[00:08:26 -> 00:08:27]  With your.
[00:08:27 -> 00:08:28]  With your.
[00:08:28 -> 00:08:29]  With your.
[00:08:29 -> 00:08:30]  With your.
[00:08:30 -> 00:08:31]  With your.
[00:08:31 -> 00:08:32]  How do you balance your time.
[00:08:32 -> 00:08:33]  How hectic is it.
[00:08:33 -> 00:08:36]  And what is my average time for leisure.
[00:08:36 -> 00:08:37]  Honestly for me.
[00:08:37 -> 00:08:38]  I'm very picky.
[00:08:38 -> 00:08:40]  When it comes to my class schedules.
[00:08:40 -> 00:08:41]  I make sure that.
[00:08:41 -> 00:08:43]  I choose a class schedule.
[00:08:43 -> 00:08:45]  That I am able to commit to.
[00:08:45 -> 00:08:47]  It's like I don't choose classes.
[00:08:47 -> 00:08:48]  Later than 4pm.
[00:08:48 -> 00:08:49]  Because by 4pm.
[00:08:49 -> 00:08:51]  I want to be able to go home na.
[00:08:51 -> 00:08:52]  To study.
[00:08:52 -> 00:08:55]  And to be able to have time for myself.
[00:08:55 -> 00:08:57]  And also know your priorities.
[00:08:57 -> 00:08:59]  So plan ahead.
[00:08:59 -> 00:09:00]  So for me I use an app.
[00:09:00 -> 00:09:01]  Actually.
[00:09:01 -> 00:09:02]  I use this app.
[00:09:02 -> 00:09:03]  It's just in my phone.
[00:09:03 -> 00:09:04]  So basically.
[00:09:04 -> 00:09:05]  It's also synced with my calendar.
[00:09:05 -> 00:09:06]  And every time.
[00:09:06 -> 00:09:07]  A professor would tell us.
[00:09:07 -> 00:09:08]  A requirement.
[00:09:08 -> 00:09:09]  Even if it's months.
[00:09:09 -> 00:09:10]  Ahead pa.
[00:09:10 -> 00:09:11]  I would calendar it.
[00:09:11 -> 00:09:12]  And also.
[00:09:12 -> 00:09:13]  I calendar my events.
[00:09:13 -> 00:09:14]  So I take that into account.
[00:09:14 -> 00:09:15]  So prioritize what things.
[00:09:15 -> 00:09:16]  You need to do first.
[00:09:16 -> 00:09:17]  Like the hardest.
[00:09:17 -> 00:09:18]  Subjects.
[00:09:18 -> 00:09:19]  And the hardest requirements.
[00:09:19 -> 00:09:20]  You have to do.
[00:09:20 -> 00:09:21]  You always have to do that first.
[00:09:21 -> 00:09:22]  And then.
[00:09:22 -> 00:09:23]  Make sure to take into account.
[00:09:23 -> 00:09:24]  The other things also.
[00:09:24 -> 00:09:25]  That you're doing.
[00:09:25 -> 00:09:26]  Like put that also.
[00:09:26 -> 00:09:27]  In your calendar.
[00:09:27 -> 00:09:28]  Because some people just put like.
[00:09:28 -> 00:09:29]  Academics in their calendar.
[00:09:29 -> 00:09:30]  So.
[00:09:30 -> 00:09:31]  I don't recommend.
[00:09:31 -> 00:09:32]  You to be overwhelmed.
[00:09:32 -> 00:09:33]  When it comes to.
[00:09:33 -> 00:09:34]  Having all your activities.
[00:09:34 -> 00:09:35]  And your academics.
[00:09:35 -> 00:09:36]  Together.
[00:09:36 -> 00:09:37]  Like when.
[00:09:37 -> 00:09:38]  It's all at the same time.
[00:09:38 -> 00:09:39]  You'll have a hard time.
[00:09:39 -> 00:09:40]  So it's better.
[00:09:40 -> 00:09:41]  If you have.
[00:09:41 -> 00:09:42]  Your app.
[00:09:42 -> 00:09:43]  Where you can put.
[00:09:43 -> 00:09:44]  Everything that you need.
[00:09:44 -> 00:09:45]  And so that.
[00:09:45 -> 00:09:46]  You can plan ahead.
[00:09:46 -> 00:09:47]  Next is.
[00:09:47 -> 00:09:48]  Tips.
[00:09:48 -> 00:09:49]  For incoming freshmen.
[00:09:49 -> 00:09:50]  I have a lot of tips here.
[00:09:50 -> 00:09:51]  But these are the most basic.
[00:09:51 -> 00:09:52]  And these are the ones.
[00:09:52 -> 00:09:53]  That.
[00:09:53 -> 00:09:54]  I think.
[00:09:54 -> 00:09:55]  Will really help you a lot.
[00:09:55 -> 00:09:56]  First of all.
[00:09:56 -> 00:09:57]  Don't be overwhelmed.
[00:09:57 -> 00:09:58]  Okay.
[00:09:58 -> 00:09:59]  It's really tempting.
[00:09:59 -> 00:10:00]  To join orgs.
[00:10:00 -> 00:10:02]  Kasi when you're a freshie.
[00:10:02 -> 00:10:03]  There's a lot of orgs.
[00:10:03 -> 00:10:04]  A lot of fraternities.
[00:10:04 -> 00:10:05]  Sororities.
[00:10:05 -> 00:10:07]  A lot of activities.
[00:10:07 -> 00:10:08]  That you'll be.
[00:10:08 -> 00:10:10]  Invited to go to.
[00:10:10 -> 00:10:12]  Maraming mandiligaw sayo.
[00:10:12 -> 00:10:13]  Basically.
[00:10:13 -> 00:10:14]  But.
[00:10:14 -> 00:10:16]  You have to remember your priorities.
[00:10:16 -> 00:10:17]  When you're a freshie.
[00:10:17 -> 00:10:19]  It's better to.
[00:10:19 -> 00:10:21]  Just stick to academics first.
[00:10:21 -> 00:10:22]  During your first year.
[00:10:22 -> 00:10:24]  Or your first semester at least.
[00:10:24 -> 00:10:26]  Get a whole feel of.
[00:10:26 -> 00:10:28]  How heavy your workload is.
[00:10:28 -> 00:10:29]  And then after that.
[00:10:29 -> 00:10:30]  Doon ka mag-commit.
[00:10:30 -> 00:10:31]  To other extracurricular activities.
[00:10:31 -> 00:10:32]  Kasi baka ma-overwhelmed ka lang.
[00:10:32 -> 00:10:33]  And you have to also learn.
[00:10:33 -> 00:10:34]  How to say no.
[00:10:34 -> 00:10:35]  Kasi guys.
[00:10:35 -> 00:10:36]  In college.
[00:10:36 -> 00:10:37]  Ang daming demonyo.
[00:10:37 -> 00:10:38]  Like literally.
[00:10:38 -> 00:10:39]  Didemonyohin ka ng friends mo.
[00:10:39 -> 00:10:40]  Especially when they're done.
[00:10:40 -> 00:10:41]  With their academics.
[00:10:41 -> 00:10:42]  And you.
[00:10:42 -> 00:10:43]  You have to remember that.
[00:10:43 -> 00:10:44]  You don't have the same workload.
[00:10:44 -> 00:10:45]  It's not the same.
[00:10:45 -> 00:10:46]  For everyone in college.
[00:10:46 -> 00:10:47]  So kahit didemonyohin ka ng friends mo.
[00:10:47 -> 00:10:48]  Learn how to say no.
[00:10:48 -> 00:10:49]  Learn how to say no.
[00:10:49 -> 00:10:50]  With.
[00:10:50 -> 00:10:51]  Your friends.
[00:10:51 -> 00:10:52]  Because.
[00:10:52 -> 00:10:53]  It's not the same.
[00:10:53 -> 00:10:54]  For everyone in college.
[00:10:54 -> 00:10:55]  So.
[00:10:55 -> 00:10:56]  Learn how to say no.
[00:10:56 -> 00:10:57]  With.
[00:10:57 -> 00:10:58]  Committing to responsibilities.
[00:10:58 -> 00:10:59]  When you know.
[00:10:59 -> 00:11:00]  That you have a lot of things.
[00:11:00 -> 00:11:01]  In your plate.
[00:11:01 -> 00:11:02]  I know.
[00:11:02 -> 00:11:03]  At first.
[00:11:03 -> 00:11:04]  Medyo magtatampo sila.
[00:11:04 -> 00:11:05]  But.
[00:11:05 -> 00:11:06]  They'll understand it.
[00:11:06 -> 00:11:07]  Eventually.
[00:11:07 -> 00:11:08]  Because you don't have the same workload.
[00:11:08 -> 00:11:09]  And if you do that.
[00:11:09 -> 00:11:10]  You might compromise.
[00:11:10 -> 00:11:11]  Your academics.
[00:11:11 -> 00:11:12]  For it.
[00:11:12 -> 00:11:13]  And ma-overwhelmed ka lang.
[00:11:13 -> 00:11:14]  Talaga.
[00:11:14 -> 00:11:15]  And of course.
[00:11:15 -> 00:11:16]  You have to aral.
[00:11:16 -> 00:11:17]  Before walwal.
[00:11:17 -> 00:11:18]  Wow.
[00:11:19 -> 00:11:20]  Ako ba nagsabi?
[00:11:20 -> 00:11:21]  Well honestly.
[00:11:21 -> 00:11:22]  Yeah you do.
[00:11:22 -> 00:11:23]  Because.
[00:11:23 -> 00:11:24]  Before you go to an event.
[00:11:24 -> 00:11:25]  You go to parties.
[00:11:25 -> 00:11:26]  Before you drink out with your friends.
[00:11:26 -> 00:11:27]  Always finish what you have to do.
[00:11:27 -> 00:11:28]  For the next day.
[00:11:28 -> 00:11:29]  That was my mistake before.
[00:11:29 -> 00:11:30]  Kasi akala ko kayang-kaya ko eh.
[00:11:30 -> 00:11:31]  And then the next day.
[00:11:31 -> 00:11:32]  I would wake up at like 3am.
[00:11:32 -> 00:11:33]  So.
[00:11:33 -> 00:11:34]  Um.
[00:11:34 -> 00:11:35]  I'd be super hungover.
[00:11:35 -> 00:11:36]  So.
[00:11:36 -> 00:11:37]  So.
[00:11:37 -> 00:11:38]  So.
[00:11:38 -> 00:11:39]  So.
[00:11:39 -> 00:11:40]  So.
[00:11:40 -> 00:11:41]  So.
[00:11:41 -> 00:11:42]  So.
[00:11:42 -> 00:11:43]  So.
[00:11:43 -> 00:11:44]  So.
[00:11:44 -> 00:11:45]  So.
[00:11:45 -> 00:11:46]  So.
[00:11:46 -> 00:11:47]  So.
[00:11:47 -> 00:11:48]  And then
[00:11:48 -> 00:11:49]  I'd be super hungover.
[00:11:49 -> 00:11:50]  I can't even function.
[00:11:50 -> 00:11:51]  And then sometimes I'd just stare at the prof.
[00:11:51 -> 00:11:52]  Super blank ko.
[00:11:52 -> 00:11:53]  Don't.
[00:11:53 -> 00:11:54]  Don't do that.
[00:11:54 -> 00:11:55]  Like.
[00:11:55 -> 00:11:56]  If you know you have an early class the next day.
[00:11:56 -> 00:11:57]  Try to have a clear mind.
[00:11:57 -> 00:11:58]  Especially if you are a freshy.
[00:11:58 -> 00:11:59]  But if you are 2nd year, 3rd year, that's okay.
[00:11:59 -> 00:12:00]  No I'm just kidding.
[00:12:00 -> 00:12:01]  Don't do that.
[00:12:01 -> 00:12:02]  Don't be like me.
[00:12:02 -> 00:12:03]  Next is.
[00:12:03 -> 00:12:04]  Ofcourse.
[00:12:04 -> 00:12:05]  Take care of your mental health.
[00:12:05 -> 00:12:06]  Don't overwork yourself.
[00:12:06 -> 00:12:08]  That was my mistake when I was flash moment.
[00:12:08 -> 00:12:09]  Because I was.
[00:12:09 -> 00:12:10]  Too fixated.
[00:12:10 -> 00:12:16]  Because I was too fixated on having good grades, on doing well in college,
[00:12:16 -> 00:12:21]  and committing to a lot of responsibilities because I thought I could do it.
[00:12:21 -> 00:12:24]  But I wasn't in a good place at that time.
[00:12:24 -> 00:12:28]  That was the time where I had really bad mental health issues.
[00:12:28 -> 00:12:34]  Like, after class, 5pm, I would just eat and then go straight to the coffee shop
[00:12:34 -> 00:12:36]  and study there until like 3am.
[00:12:36 -> 00:12:38]  Guys, I was really, really fat!
[00:12:38 -> 00:12:42]  Look at a show-off picture.
[00:12:42 -> 00:12:44]  Grabe, ang lala talaga. Super lala.
[00:12:44 -> 00:12:50]  Like, I couldn't... I wasn't doing anything else rather than study.
[00:12:50 -> 00:12:53]  I didn't have time for my friends, I didn't have time to reconnect with my friends,
[00:12:53 -> 00:12:57]  and that's the thing I regretted the most.
[00:12:57 -> 00:13:03]  Honestly, hindi ko masyadong na-enjoy yung first year ko.
[00:13:03 -> 00:13:11]  Although I did get good grades from it, but I wasn't really in a good place then.
[00:13:11 -> 00:13:15]  And I didn't take care of myself at that time.
[00:13:15 -> 00:13:18]  Next is, find a way to de-stress yourself.
[00:13:18 -> 00:13:22]  Pick out a healthy outlet for you to let out all your frustrations.
[00:13:22 -> 00:13:27]  Because honestly, college is very, very different from high school.
[00:13:27 -> 00:13:32]  In high school, you might be a valedictorian, you might be a salutatorian, the best in your batch.
[00:13:32 -> 00:13:36]  But when you go to college, it's really, really different.
[00:13:36 -> 00:13:42]  I have friends in college who were valedictorians, who were salutatorians when they were in high school,
[00:13:42 -> 00:13:46]  but they still failed classes.
[00:13:46 -> 00:13:51]  And mostly that happened to them because they were pressuring themselves too much.
[00:13:51 -> 00:13:56]  They were being too competitive, that they weren't taking care of their mental health,
[00:13:56 -> 00:14:01]  they weren't enjoying it, they weren't making friends from it.
[00:14:01 -> 00:14:03]  So they felt a little alone.
[00:14:03 -> 00:14:07]  And it's not really good for you.
[00:14:07 -> 00:14:10]  You have to have an outlet to let out all your frustrations.
[00:14:10 -> 00:14:13]  Kasi, totoo talaga, you really fail.
[00:14:13 -> 00:14:18]  In college, that's when you'll experience failure.
[00:14:18 -> 00:14:21]  And it's okay, that's okay, and that's completely okay.
[00:14:21 -> 00:14:27]  But what you have to do, like what I always tell myself is that it's okay to fail,
[00:14:27 -> 00:14:30]  but as long as you bounce right back after it.
[00:14:30 -> 00:14:34]  So what I do, after that first year, natuto na talaga ako.
[00:14:34 -> 00:14:38]  I started working out more, I started calendaring my life,
[00:14:38 -> 00:14:45]  I started focusing on the things that I needed to do, and it felt so much better.
[00:14:45 -> 00:14:47]  Like, look at the difference.
[00:14:47 -> 00:14:52]  This was when I was in first year, and this was when I started taking care of myself.
[00:14:52 -> 00:14:55]  I felt so much better inside and outside.
