[00:00:00 -> 00:00:12]  Human resource management.
[00:13:40 -> 00:13:43]  But even butchers.
[00:13:43 -> 00:13:44]  A lot of things.
[00:13:44 -> 00:13:48]  And there's just a minor group of professions
[00:13:48 -> 00:13:52]  that can't be outsourced to other countries.
[00:13:52 -> 00:13:54]  That's really, really traumatic.
[00:13:54 -> 00:13:59]  So, we will have globally diverse teams and companies.
[00:14:01 -> 00:14:04]  The required skills of the employees change.
[00:14:06 -> 00:14:11]  20 years ago, it was really not necessary for university graduates
[00:14:12 -> 00:14:15]  that they had experience abroad.
[00:14:16 -> 00:14:19]  When I studied, that didn't mean a thing.
[00:14:19 -> 00:14:21]  Today, it's a must.
[00:14:22 -> 00:14:24]  And you are on the right track,
[00:14:24 -> 00:14:26]  because you will spend some time abroad.
[00:14:26 -> 00:14:28]  It became so important.
[00:14:29 -> 00:14:31]  This is something new.
[00:14:33 -> 00:14:35]  Another mega-trend.
[00:14:35 -> 00:14:40]  We call it Web 2.0.
[00:14:40 -> 00:14:44]  When there is a Web 2.0,
[00:14:44 -> 00:14:46]  probably there is also a Web 2.0.
[00:14:46 -> 00:14:48]  What is that?
[00:14:48 -> 00:14:49]  Oh, no, the Web.
[00:14:49 -> 00:14:51]  It's the Internet.
[00:14:52 -> 00:14:55]  When the Internet appeared,
[00:14:55 -> 00:14:58]  there was a very simple model.
[00:14:59 -> 00:15:04]  Institutions or persons, individuals,
[00:15:04 -> 00:15:06]  they had a website.
[00:15:06 -> 00:15:09]  It was mainly an HTML website.
[00:15:10 -> 00:15:14]  And others could read this site.
[00:15:17 -> 00:15:20]  One is producing the website and publishing the website.
[00:15:20 -> 00:15:23]  And the others read the website.
[00:15:25 -> 00:15:31]  That was the very first generation of the Web.
[00:15:32 -> 00:15:35]  You will still find a lot of websites that work in that way.
[00:15:36 -> 00:15:38]  The university website.
[00:15:40 -> 00:15:43]  But it's changed.
[00:15:44 -> 00:15:47]  It's something which we call Web 2.0.
[00:15:48 -> 00:15:50]  The point is that,
[00:15:51 -> 00:15:54]  let's look at websites like Wikipedia.
[00:15:57 -> 00:16:01]  Who is producing all this content on Wikipedia?
[00:16:01 -> 00:16:03]  Anyone can.
[00:16:03 -> 00:16:05]  You can.
[00:16:05 -> 00:16:07]  Everybody can write on Wikipedia
[00:16:07 -> 00:16:09]  whatever you like.
[00:16:09 -> 00:16:11]  Whom of you has ever written
[00:16:11 -> 00:16:13]  written, not read,
[00:16:13 -> 00:16:15]  written an article in Wikipedia?
[00:16:16 -> 00:16:17]  Cool.
[00:16:17 -> 00:16:18]  About what?
[00:16:18 -> 00:16:19]  About a tennis player.
[00:16:19 -> 00:16:21]  About a tennis player, yes, okay.
[00:16:22 -> 00:16:23]  Do it.
[00:16:23 -> 00:16:25]  It's a good experience.
[00:16:25 -> 00:16:28]  Write an article about your home village.
[00:16:29 -> 00:16:31]  Or about a special about your...
[00:16:31 -> 00:16:33]  I don't know.
[00:16:34 -> 00:16:36]  It's an interesting experience.
[00:16:36 -> 00:16:38]  Everybody can write everything.
[00:16:39 -> 00:16:41]  You share information on Facebook.
[00:16:42 -> 00:16:46]  Sooner or later you will be on websites like LinkedIn.
[00:16:48 -> 00:16:51]  You have your profiles and your contacts to others.
[00:16:53 -> 00:16:55]  Maybe some of you will Twitter.
[00:16:55 -> 00:16:57]  Some of you will write blogs.
[00:16:58 -> 00:17:03]  It's no more just a few institutions who provide content.
[00:17:03 -> 00:17:06]  It's the user who provides the content.
[00:17:06 -> 00:17:08]  And that's a major difference.
[00:17:10 -> 00:17:12]  You produce the content.
[00:17:12 -> 00:17:14]  It's not Facebook that delivers the content.
[00:17:14 -> 00:17:16]  Facebook only delivers the platform.
[00:17:17 -> 00:17:19]  You provide the content.
[00:17:20 -> 00:17:23]  That's why we call it user-generated content.
[00:17:25 -> 00:17:29]  Content which is generated by the users.
[00:17:31 -> 00:17:35]  The user became somebody
[00:17:35 -> 00:17:37]  who really took control about the Internet.
[00:17:37 -> 00:17:39]  About the content in the Internet.
[00:17:40 -> 00:17:43]  And that's really relevant for human resource management.
[00:17:43 -> 00:17:44]  Why?
[00:17:45 -> 00:17:46]  As we will see,
[00:17:47 -> 00:17:50]  the Web 2.0 really changed the way
[00:17:50 -> 00:17:53]  how companies hire people.
[00:17:54 -> 00:17:56]  We will see that social media,
[00:17:57 -> 00:18:00]  Twitter, Facebook, LinkedIn,
[00:18:00 -> 00:18:04]  social media got a crucial role in this.
[00:18:05 -> 00:18:07]  We'll talk an entire session about this.
[00:18:08 -> 00:18:12]  We learned that the way how people in companies
[00:18:12 -> 00:18:14]  exchange ideas,
[00:18:14 -> 00:18:16]  the way they learn,
[00:18:16 -> 00:18:18]  the way they share their knowledge,
[00:18:19 -> 00:18:21]  changed through Web 2.0.
[00:18:22 -> 00:18:25]  Just think about 20 years ago,
[00:18:25 -> 00:18:27]  we didn't have all this stuff.
[00:18:27 -> 00:18:30]  I did study without the Internet.
[00:18:30 -> 00:18:31]  Really.
[00:18:32 -> 00:18:35]  I had my degree when I wrote my first email.
[00:18:36 -> 00:18:38]  You cannot imagine.
[00:18:38 -> 00:18:41]  I did an experiment two years ago
[00:18:41 -> 00:18:45]  where eight students declared
[00:18:45 -> 00:18:47]  that they will not use the Internet.
[00:18:47 -> 00:18:52]  Neither Internet nor mobile communication
[00:18:52 -> 00:18:53]  for one week.
[00:18:54 -> 00:18:56]  I can recommend to do this.
[00:18:57 -> 00:19:00]  Just skip all this for one entire week
[00:19:00 -> 00:19:02]  and you will experience that
[00:19:02 -> 00:19:04]  this is a different life.
[00:19:06 -> 00:19:07]  It's hard.
[00:19:07 -> 00:19:09]  You feel isolated.
[00:19:10 -> 00:19:15]  You feel that you are really totally uninformed.
[00:19:16 -> 00:19:17]  You will suffer.
[00:19:18 -> 00:19:20]  But you will sleep more.
[00:19:20 -> 00:19:22]  You will read more.
[00:19:22 -> 00:19:23]  Make more sports.
[00:19:24 -> 00:19:26]  So it's really traumatic.
[00:19:27 -> 00:19:28]  Okay?
[00:19:29 -> 00:19:31]  Web 2.0 changed the way
[00:19:31 -> 00:19:34]  how we communicate with each other,
[00:19:34 -> 00:19:36]  changed the way how we hire people,
[00:19:36 -> 00:19:38]  how people share their knowledge.
[00:19:38 -> 00:19:43]  It changed the way we spend our lives.
[00:19:44 -> 00:19:47]  This is really relevant for human resource management.
[00:19:47 -> 00:19:49]  Another megatrend, value change.
[00:19:57 -> 00:20:00]  30 days to death, right?
[00:20:03 -> 00:20:05]  Which one is prettier?
[00:20:06 -> 00:20:07]  The left.
[00:20:08 -> 00:20:09]  The right.
[00:20:09 -> 00:20:10]  The right.
[00:20:12 -> 00:20:14]  I think that's an old...
[00:20:14 -> 00:20:15]  iPhone.
[00:20:15 -> 00:20:17]  iPhone 3.
[00:20:17 -> 00:20:20]  The role of women in society,
[00:20:20 -> 00:20:22]  in the professional world,
[00:20:22 -> 00:20:24]  is totally changed.
[00:20:25 -> 00:20:27]  It's not only women.
[00:20:28 -> 00:20:30]  It's about everything.
[00:20:30 -> 00:20:32]  Our values change.
[00:20:32 -> 00:20:33]  What does that mean?
[00:20:33 -> 00:20:36]  Value is what is important to people.
[00:20:37 -> 00:20:39]  What is important to you?
[00:20:39 -> 00:20:40]  If I were to ask you,
[00:20:40 -> 00:20:42]  take a piece of paper and write down
[00:20:42 -> 00:20:44]  what is important to you.
[00:20:45 -> 00:20:46]  If I were to ask you,
[00:20:46 -> 00:20:48]  take a piece of paper and write down
[00:20:48 -> 00:20:51]  three things which are important to you.
[00:20:53 -> 00:20:55]  And then think about your parents,
[00:20:55 -> 00:20:56]  your grandparents,
[00:20:56 -> 00:21:01]  and think about what were important to them
[00:21:01 -> 00:21:03]  when they were of similar age.
[00:21:03 -> 00:21:05]  If you just do this exercise,
[00:21:05 -> 00:21:08]  on two little pieces of paper,
[00:21:08 -> 00:21:10]  you will immediately realize that
[00:21:10 -> 00:21:12]  what is important to you
[00:21:12 -> 00:21:15]  somehow differs from what was important
[00:21:15 -> 00:21:17]  to earlier generations.
[00:21:20 -> 00:21:23]  Work totally changed.
[00:21:23 -> 00:21:26]  It changed what is important to the people.
[00:21:26 -> 00:21:28]  The role of people changed.
[00:21:29 -> 00:21:30]  The way we work,
[00:21:30 -> 00:21:32]  the way we communicate changed.
[00:21:35 -> 00:21:37]  Look at our university.
[00:21:37 -> 00:21:39]  The way we build relationships
[00:21:39 -> 00:21:41]  between students and professors
[00:21:42 -> 00:21:43]  changed.
[00:21:45 -> 00:21:47]  When I studied 20 years ago,
[00:21:47 -> 00:21:49]  we would have never dared
[00:21:49 -> 00:21:52]  to send a letter to a professor.
[00:21:52 -> 00:21:54]  Because I was here,
[00:21:54 -> 00:21:56]  a small, unimportant person,
[00:21:56 -> 00:21:58]  a freckled student,
[00:21:58 -> 00:22:00]  and then there was the professor.
[00:22:00 -> 00:22:01]  God!
[00:22:02 -> 00:22:05]  Today, we are more or less on the same island.
[00:22:06 -> 00:22:07]  Hey, you have a problem?
[00:22:07 -> 00:22:08]  Send me an email.
[00:22:08 -> 00:22:11]  Direct communication, open door.
[00:22:14 -> 00:22:16]  We even have a rock band.
[00:22:17 -> 00:22:19]  Professors and students together
[00:22:19 -> 00:22:24]  make loud and noisy and hard rock music.
[00:22:24 -> 00:22:26]  You could not have imagined this
[00:22:26 -> 00:22:28]  50 years ago.
[00:22:30 -> 00:22:32]  Things change.
[00:22:33 -> 00:22:35]  That means that
[00:22:35 -> 00:22:38]  the way we shape our work
[00:22:40 -> 00:22:41]  really, really changed.
[00:22:41 -> 00:22:43]  You're going to see this.
[00:22:44 -> 00:22:46]  Here's a kind of summary.
[00:22:46 -> 00:22:48]  I said there are five trends
[00:22:48 -> 00:22:50]  that really impact the world.
[00:22:51 -> 00:22:52]  Innovation,
[00:22:53 -> 00:22:54]  demography,
[00:22:55 -> 00:22:56]  globalization,
[00:22:56 -> 00:22:57]  Web 2.0,
[00:22:57 -> 00:22:58]  value change.
[00:22:58 -> 00:23:01]  I think these are the five major trends.
[00:23:03 -> 00:23:04]  Of course, there are more trends
[00:23:05 -> 00:23:06]  in the world.
[00:23:06 -> 00:23:08]  Climate change, maybe, or some others.
[00:23:11 -> 00:23:13]  But the important thing is that
[00:23:13 -> 00:23:15]  all these things, as I have indicated,
[00:23:15 -> 00:23:18]  have an impact on challenges
[00:23:18 -> 00:23:21]  that relate to human resource management.
[00:23:21 -> 00:23:23]  And we'll talk about these challenges
[00:23:23 -> 00:23:25]  in much detail.
[00:23:27 -> 00:23:29]  We will need to acquire the right talents
[00:23:29 -> 00:23:31]  to be innovative.
[00:23:31 -> 00:23:32]  Yeah?
[00:23:33 -> 00:23:35]  Sorry, this is a typo.
[00:23:35 -> 00:23:37]  Give the right rewards.
[00:23:37 -> 00:23:38]  Yeah?
[00:23:38 -> 00:23:40]  Maybe in terms of compensation
[00:23:40 -> 00:23:42]  or other privileges.
[00:23:43 -> 00:23:46]  We have to support lifelong learning.
[00:23:47 -> 00:23:49]  It's not the case that
[00:23:49 -> 00:23:51]  you do your education
[00:23:51 -> 00:23:52]  and you're finished
[00:23:52 -> 00:23:53]  and then you have
[00:23:53 -> 00:23:55]  the entire qualification
[00:23:55 -> 00:23:56]  that you need for the rest of your life.
[00:23:56 -> 00:23:57]  No.
[00:23:57 -> 00:23:59]  You will need to learn
[00:24:00 -> 00:24:01]  for your entire life.
[00:24:01 -> 00:24:02]  Yeah?
[00:24:02 -> 00:24:03]  You have to leverage
[00:24:03 -> 00:24:04]  employee potential.
[00:24:04 -> 00:24:06]  Find their talents.
[00:24:06 -> 00:24:07]  Yeah?
[00:24:07 -> 00:24:09]  Support diversity.
[00:24:09 -> 00:24:11]  Of course, we are in a global world.
[00:24:12 -> 00:24:13]  The customers are global.
[00:24:13 -> 00:24:15]  We have to be global.
[00:24:17 -> 00:24:18]  We have to have women
[00:24:18 -> 00:24:20]  in leadership positions.
[00:24:20 -> 00:24:21]  Oh, that means we have to have
[00:24:21 -> 00:24:23]  more diversity on the workplace.
[00:24:24 -> 00:24:27]  Build successors for key positions.
[00:24:27 -> 00:24:28]  We're going to talk about this
[00:24:28 -> 00:24:29]  in much detail.
[00:24:29 -> 00:24:30]  We have to retain
[00:24:30 -> 00:24:31]  and share knowledge
[00:24:31 -> 00:24:33]  because knowledge became key
[00:24:34 -> 00:24:35]  for most companies.
[00:24:35 -> 00:24:36]  Why?
[00:24:36 -> 00:24:37]  Because innovation.
[00:24:37 -> 00:24:38]  Okay?
[00:24:39 -> 00:24:40]  We have to shape attractive
[00:24:40 -> 00:24:41]  work conditions
[00:24:41 -> 00:24:43]  so that you really attract
[00:24:43 -> 00:24:44]  the right people
[00:24:44 -> 00:24:45]  so that they apply.
[00:24:47 -> 00:24:49]  Things change inside companies.
[00:24:49 -> 00:24:51]  We have big strategic changes
[00:24:51 -> 00:24:52]  which we need to manage.
[00:24:53 -> 00:24:54]  We'll talk about this
[00:24:54 -> 00:24:55]  for two sessions.
[00:24:56 -> 00:24:58]  We use latest technology
[00:24:59 -> 00:25:00]  even in HR.
[00:25:00 -> 00:25:01]  Yeah?
[00:25:01 -> 00:25:02]  We use iPad.
[00:25:02 -> 00:25:03]  We use modern software
[00:25:03 -> 00:25:05]  to do human resource management
[00:25:05 -> 00:25:06]  related things.
[00:25:07 -> 00:25:08]  Of course, we have to retain
[00:25:08 -> 00:25:09]  the best talent.
[00:25:09 -> 00:25:10]  And so on.
[00:25:10 -> 00:25:11]  This list is not complete
[00:25:11 -> 00:25:12]  but you can see that
[00:25:12 -> 00:25:14]  from all these mega trends
[00:25:15 -> 00:25:18]  we can say that
[00:25:18 -> 00:25:20]  there are specific challenges
[00:25:20 -> 00:25:22]  which are special today
[00:25:23 -> 00:25:25]  which were not as big
[00:25:25 -> 00:25:27]  10 or 20 years ago.
[00:25:27 -> 00:25:29]  And we do all this
[00:25:29 -> 00:25:31]  at the end
[00:25:31 -> 00:25:34]  to ensure the competitive position,
[00:25:34 -> 00:25:36]  the competitive advantage
[00:25:36 -> 00:25:37]  of a company.
[00:25:38 -> 00:25:39]  Okay?
[00:25:41 -> 00:25:42]  So,
[00:25:43 -> 00:25:44]  here is the definition.
[00:25:45 -> 00:25:46]  Yeah?
[00:25:46 -> 00:25:48]  Don't learn this by heart.
[00:25:48 -> 00:25:49]  Yeah?
[00:25:50 -> 00:25:51]  But,
[00:25:51 -> 00:25:52]  if I would show you
[00:25:52 -> 00:25:54]  this definition in the exam,
[00:25:55 -> 00:25:56]  I could imagine
[00:25:56 -> 00:25:57]  explain this.
[00:25:57 -> 00:25:59]  Explain it in your own words.
[00:26:00 -> 00:26:01]  Okay?
[00:26:01 -> 00:26:02]  And many things
[00:26:02 -> 00:26:04]  which I have written here
[00:26:04 -> 00:26:06]  we have already discussed today.
[00:26:06 -> 00:26:07]  Yeah?
[00:26:10 -> 00:26:11]  You know,
[00:26:11 -> 00:26:13]  the first part is easy.
[00:26:14 -> 00:26:16]  It's about management.
[00:26:16 -> 00:26:17]  Management,
[00:26:17 -> 00:26:19]  it's a term which you
[00:26:19 -> 00:26:20]  hear a lot of times
[00:26:20 -> 00:26:21]  during your studies
[00:26:21 -> 00:26:23]  and during your entire career.
[00:26:23 -> 00:26:24]  Management.
[00:26:24 -> 00:26:25]  What is management?
[00:26:26 -> 00:26:28]  Whenever somebody says
[00:26:28 -> 00:26:29]  management,
[00:26:29 -> 00:26:31]  customer relationship management,
[00:26:31 -> 00:26:32]  quality management,
[00:26:32 -> 00:26:34]  health management,
[00:26:34 -> 00:26:35]  facility management,
[00:26:35 -> 00:26:36]  management,
[00:26:36 -> 00:26:37]  management.
[00:26:37 -> 00:26:38]  Yeah?
[00:26:38 -> 00:26:40]  Management always means
[00:26:40 -> 00:26:42]  planned and controlled.
[00:26:43 -> 00:26:44]  Okay?
[00:26:44 -> 00:26:45]  Planned and controlled.
[00:26:45 -> 00:26:46]  So,
[00:26:46 -> 00:26:47]  all planned and controlled
[00:26:47 -> 00:26:48]  in brackets,
[00:26:48 -> 00:26:49]  managed.
[00:26:49 -> 00:26:50]  All planned and controlled
[00:26:50 -> 00:26:51]  activities of
[00:26:51 -> 00:26:52]  and what?
[00:26:52 -> 00:26:53]  Organization.
