[00:00:00 -> 00:00:04]  Introduction to Epistemology
[00:06:06 -> 00:06:12]  When one comes to occupy such a relation to information, thus attaining knowledge of a fact,
[00:06:12 -> 00:06:18]  epistemologists have often defined this propositional knowledge as justified true belief.
[00:06:18 -> 00:06:23]  This definition emphasizes that mere belief is not enough to constitute knowledge.
[00:06:23 -> 00:06:27]  Rather, one must have good reasons for believing something to be true.
[00:06:27 -> 00:06:30]  So when one says, I believe this to be the case,
[00:06:31 -> 00:06:36]  it should not be assumed to have the same meaning as if one had said, I know this to be the case.
[00:06:36 -> 00:06:42]  And in everyday language, a difference between these two statements is indeed usually recognized.
[00:06:43 -> 00:06:49]  Rather, in order to know or have knowledge of something, in the sense of justified true belief,
[00:06:49 -> 00:06:55]  there must be solid grounds for holding the belief and the individual must be aware of such grounds.
[00:06:56 -> 00:07:02]  Guesses, conjectures, and mere opinions that may or may not lead an individual to a correct belief of a fact
[00:07:02 -> 00:07:05]  are typically not classified as knowledge,
[00:07:05 -> 00:07:10]  because such an individual would not be aware of the reasons for the proposition being true.
[00:07:13 -> 00:07:17]  Now that we have introduced epistemology and looked at what it means to have knowledge,
[00:07:17 -> 00:07:24]  we will conclude the lecture by addressing the interesting question of why humans need a theory of knowledge in the first place.
[00:07:25 -> 00:07:29]  As Aristotle seems to have alluded to in the quote at the beginning of this lecture,
[00:07:29 -> 00:07:32]  humans seem to be inquisitive by nature.
[00:07:32 -> 00:07:35]  In a related manner, Nicholas Rescher suggests that
[00:07:55 -> 00:08:01]  But while this may explain why we as humans need knowledge,
[00:08:01 -> 00:08:05]  it does not quite address why we need a theory of knowledge.
[00:08:05 -> 00:08:11]  If one accepts what is presented to their senses or determined through the rational workings of their mind as true,
[00:08:11 -> 00:08:14]  and is not skeptical as to its validity,
[00:08:14 -> 00:08:17]  then the need for epistemology is limited,
[00:08:17 -> 00:08:22]  for in such a case one does not question what knowledge is or how humans can obtain it.
[00:08:23 -> 00:08:28]  This sort of view seems to be the case for some of the ancient pre-Socratic philosophers
[00:08:28 -> 00:08:32]  who seemed to take for granted that we could know the nature of the universe.
[00:08:32 -> 00:08:36]  As the great historian of philosophy Frederick Copleston said,
[00:08:37 -> 00:08:41]  The pre-Socratic philosophers in the main were dogmatists,
[00:08:41 -> 00:08:45]  in the sense that they assumed that man can know reality objectively.
[00:08:47 -> 00:08:53]  However, when one begins to question if we can be sure that the ideas or representations in our mind
[00:08:53 -> 00:08:56]  actually correspond to the world outside of ourselves,
[00:08:56 -> 00:09:02]  or if we can ever hope to bridge the gulf between our ideas about the world and the world itself,
[00:09:02 -> 00:09:09]  then the problem of knowledge arises and along with it the need for an epistemology, or a theory of knowledge.
[00:09:11 -> 00:09:17]  Interestingly, some have suggested that it is fear that has led to the development of epistemology,
[00:09:17 -> 00:09:24]  a fear that we as human beings are lost in the cosmos with tools that are too inadequate to give us the knowledge we desire,
[00:09:24 -> 00:09:27]  such as explanations for why things happen,
[00:09:27 -> 00:09:31]  or truths about the meaning or purpose of our life in the scheme of this vast cosmos.
[00:09:33 -> 00:09:39]  Lorraine Dastin and Peter Galison illuminate this point in their fascinating work Objectivity.
[00:09:39 -> 00:09:40]  They write,
[00:09:57 -> 00:10:07]  The 17th century polymath Blaise Pascal seems to have suggested such a fear when he wrote,
[00:10:17 -> 00:10:22]  So to summarize the main points of the lecture, epistemology is the theory of knowledge,
[00:10:22 -> 00:10:27]  and knowledge, in the sense of propositional knowledge, has been defined as justified true belief.
[00:10:28 -> 00:10:33]  Furthermore, as we speculated, it was fear which led to the need for a theory of knowledge,
[00:10:33 -> 00:10:36]  and as Dastin and Galison suggest in their book,
[00:10:36 -> 00:10:42]  epistemologists have attempted to quell this fear by trying to clear a pathway towards the possibility of knowledge
[00:10:42 -> 00:10:48]  by removing the sources of error and imperfections which have plagued humans in their quest to know.
