[00:00:00 -> 00:00:02]  Fertighaus-Boom in Deutschland.
[00:08:42 -> 00:08:46]  wo endet man die Reise, wo wohnt man, wo geht man hin.
[00:08:46 -> 00:08:48]  Das ist dann einfach fest.
[00:08:48 -> 00:08:50]  Soweit die Treppe im Flur.
[00:08:50 -> 00:08:53]  Doch jetzt geht es in die gute Stube.
[00:08:54 -> 00:08:56]  Hier sind Sie, Ihr Wohnzimmer.
[00:08:56 -> 00:08:58]  Von welcher Seite?
[00:08:58 -> 00:09:00]  Gehen Sie ruhig mal rein.
[00:09:02 -> 00:09:06]  Es braucht schon etwas Fantasie, um hier das zu erkennen,
[00:09:06 -> 00:09:08]  was den Raum behaglich machen soll.
[00:09:08 -> 00:09:11]  Da kommt die Couch hin auf jeden Fall.
[00:09:11 -> 00:09:15]  Auf jeden Fall unter das Fenster oder zumindest am Fenster.
[00:09:15 -> 00:09:18]  Und den Esstisch haben wir hier vorgestellt.
[00:09:18 -> 00:09:21]  Entweder gerade so oder man kann ihn auch stehen.
[00:09:21 -> 00:09:24]  Das muss man sehen, wenn es komplett steht.
[00:09:24 -> 00:09:27]  Eingezeichnet war er auf jeden Fall.
[00:09:27 -> 00:09:31]  Nur noch eine Woche bis zum sog. Stelltermin.
[00:09:31 -> 00:09:35]  Bis dahin müssen alle Module von Ehepaar Dressel fertig sein.
[00:09:37 -> 00:09:39]  In der Fabrikhalle
[00:09:39 -> 00:09:43]  arbeiten 70 Fachleute verschiedener Gewerke Hand in Hand.
[00:09:43 -> 00:09:46]  Von Bodenbelägen bis hin zur Haustechnik.
[00:09:46 -> 00:09:49]  Alles ist ab Werk vollständig integriert.
[00:09:49 -> 00:09:52]  Eine Elektrikerin überprüft gerade die Anlage.
[00:09:52 -> 00:09:55]  Wir befinden uns hier im Hauswirtschaftsraum
[00:09:55 -> 00:09:59]  mit der Installationswand, wo alles zusammenläuft.
[00:09:59 -> 00:10:02]  Das ist quasi das Kernstück vom Haus.
[00:10:02 -> 00:10:05]  Sicherungskasten, Fußbodenheizung.
[00:10:05 -> 00:10:08]  Hier laufen alle Kabel zusammen.
[00:10:08 -> 00:10:12]  Hier haben wir die Netzwerkkabel für das Internet usw.
[00:10:12 -> 00:10:18]  Hier oben ist die Kabelverteilung für alle Steckdosen,
[00:10:18 -> 00:10:20]  alle Lichtschaltungen.
[00:10:20 -> 00:10:22]  Das ist die Fußbodenheizung.
[00:10:22 -> 00:10:24]  Hier die Stellantriebe.
[00:10:24 -> 00:10:27]  Mit denen wird die Fußbodenheizung gesteuert.
[00:10:27 -> 00:10:30]  Die sind auch elektrisch gesteuert.
[00:10:30 -> 00:10:33]  Der größte Vorteil eines solchen Hauses
[00:10:33 -> 00:10:35]  im Vergleich zu einem Massivbau,
[00:10:35 -> 00:10:38]  es bedeutet weniger Stress für die Bauherren.
[00:10:38 -> 00:10:40]  Bei einer konventionellen Bauweise
[00:10:40 -> 00:10:43]  hast du mindestens ein Jahr lang Bauphase.
[00:10:43 -> 00:10:46]  Du hast die Austrocknungszeit, die du hier nicht hast,
[00:10:46 -> 00:10:48]  sondern die einzelnen Wände.
[00:10:48 -> 00:10:50]  Und du hast den massiven Zeitaufwand,
[00:10:50 -> 00:10:52]  den du selber aufbringen musst.
[00:10:52 -> 00:10:55]  Du kannst nicht als Bauherr von einer Baustelle sagen,
[00:10:55 -> 00:10:57]  ich bin nur einmal die Woche da.
[00:10:57 -> 00:10:58]  Das geht nicht.
[00:10:58 -> 00:11:01]  Das konnten wir uns beide nicht mit den Jobs machen.
[00:11:01 -> 00:11:04]  Die Firma verkauft rund 200 Häuser pro Jahr
[00:11:04 -> 00:11:06]  mit steigender Tendenz.
[00:11:06 -> 00:11:08]  Zurück nach Baden-Württemberg,
[00:11:08 -> 00:11:11]  wo die Nachfrage nach Fertighäusern rasant zunimmt.
[00:11:11 -> 00:11:14]  Nach ihrem Besuch in der Musterhaus-Siedlung
[00:11:14 -> 00:11:17]  ist Jani Halmel sicher, auch sie wollen so bauen.
[00:11:17 -> 00:11:19]  Aber einiges ist noch zu klären.
[00:11:19 -> 00:11:21]  Hallo. Hallo.
[00:11:21 -> 00:11:24]  Jani Halmel, herzlich willkommen.
[00:11:24 -> 00:11:26]  Sie haben Fragen mitgebracht.
[00:11:26 -> 00:11:29]  Lassen Sie uns gleich die Antworten besprechen.
[00:11:29 -> 00:11:31]  Machen wir. Kommen Sie mit.
[00:11:31 -> 00:11:34]  Im Wesentlichen geht es ums Aktionshaus.
[00:11:34 -> 00:11:38]  Es steht drauf, bezugsfertige Ausstattung, Edition extra.
[00:11:38 -> 00:11:40]  Aber was ist alles mit dabei?
[00:11:40 -> 00:11:42]  Den Hauspreis sehen Sie hier.
[00:11:42 -> 00:11:44]  Mit den 224.000 Euro.
[00:11:44 -> 00:11:47]  Sie sehen hier, das ist ab OK Bodenplatte.
[00:11:47 -> 00:11:49]  Das ist die Oberkante.
[00:11:49 -> 00:11:52]  D.h., da fehlt noch ein Keller oder eine Bodenplatte.
[00:11:52 -> 00:11:54]  Möchten Sie das Haus mit einem Keller
[00:11:54 -> 00:11:56]  oder mit einer Bodenplatte realisieren?
[00:11:56 -> 00:12:00]  Wir wollen schon einen Keller haben, um mehr Stauraum zu haben.
[00:12:00 -> 00:12:01]  Gesagt, getan.
[00:12:01 -> 00:12:03]  Auf dem Grundstück der Familie
[00:12:03 -> 00:12:06]  beginnt 1,5 Jahre später der Bau des Kellers.
[00:12:06 -> 00:12:09]  Dann geht es ans Aufstellen des Baugerüstes.
[00:12:09 -> 00:12:12]  Ein halbes Jahr danach ist es soweit.
[00:12:12 -> 00:12:14]  Der große Tag.
[00:12:14 -> 00:12:17]  Im 400-Seelen-Dorf Ochsenwang auf der Schwäbischen Alb
[00:12:17 -> 00:12:20]  bekommen Michael und Stefanie heute ihr Fertighaus.
[00:12:20 -> 00:12:23]  Innerhalb von 2 Tagen soll es stehen.
[00:12:23 -> 00:12:25]  Jetzt geht es los.
[00:12:29 -> 00:12:31]  Unser Hüttle.
[00:12:31 -> 00:12:33]  So lange gewartet.
[00:12:33 -> 00:12:35]  Jetzt wird alles in 3D-Real.
[00:12:35 -> 00:12:37]  Das ist krass.
[00:12:37 -> 00:12:41]  Das Paar hat sich für ein 2-geschossiges Pult-Dachhaus entschieden.
[00:12:41 -> 00:12:44]  Doch bisher kennen sie es nur als Entwurf.
[00:12:44 -> 00:12:47]  Wird es ihren Erwartungen entsprechen?
[00:12:47 -> 00:12:49]  Es ist der Tag der Tage,
[00:12:49 -> 00:12:52]  auf den man 2 Jahre hingearbeitet hat.
[00:12:52 -> 00:12:54]  Es ist 7 Uhr morgens.
[00:12:54 -> 00:12:57]  Die gebürtige Hamburgerin und ihr bayerischer Ehemann
[00:12:57 -> 00:13:00]  wollen den Bautrupp begrüßen.
[00:13:00 -> 00:13:04]  Das Montageteam wird von Joachim und Florian Stenglein geführt.
[00:13:04 -> 00:13:07]  Ein Vater-und-Sohn-Gespann.
[00:13:07 -> 00:13:10]  Herr Stenglein, dürften wir Sie kurz was fragen?
[00:13:10 -> 00:13:12]  Ja, bitte.
[00:13:12 -> 00:13:15]  Uns würde interessieren, was genau passiert heute?
[00:13:15 -> 00:13:18]  Das Erdgeschoss, morgen das Obergeschoss?
[00:13:18 -> 00:13:20]  Erdgeschoss und Decke.
[00:13:20 -> 00:13:22]  Die Treppe nach oben.
[00:13:22 -> 00:13:25]  Die Treppe nach oben sogar auch schon.
[00:13:25 -> 00:13:28]  Dürfen wir heute schon einmal reingehen durch die Tür?
[00:13:28 -> 00:13:30]  Ja, selbstverständlich.
[00:13:30 -> 00:13:32]  Prima, da freuen wir uns sehr.
[00:13:32 -> 00:13:34]  Klasse, super.
[00:13:34 -> 00:13:37]  Genial, so haben wir uns das vorgestellt,
[00:13:37 -> 00:13:39]  am 1. Tag durch die Tür gehen.
[00:13:39 -> 00:13:43]  Der Bautrupp ist beim Hersteller fest angestellt.
[00:13:43 -> 00:13:46]  Ein klarer Vorteil für den Bauherrn.
[00:13:46 -> 00:13:49]  Ich brauch mir keine Handwerker suchen.
[00:13:49 -> 00:13:51]  Ich hab hier ein Komplett-Paket,
[00:13:51 -> 00:13:55]  wo man das eine oder andere noch selbst machen kann,
[00:13:55 -> 00:13:57]  wenn man möchte.
[00:13:57 -> 00:14:00]  In der heutigen Zeit Handwerker suchen,
[00:14:00 -> 00:14:03]  um zur richtigen Zeit auf die Baustelle zu kommen,
[00:14:03 -> 00:14:05]  ist eine riesige Herausforderung.
[00:14:05 -> 00:14:07]  Achtung, gleich kommt die 1. Wand.
[00:14:07 -> 00:14:09]  Die Heimels müssen auf die Seite.
[00:14:09 -> 00:14:12]  Es kann immer was passieren, weil da knallt es.
[00:14:12 -> 00:14:14]  Klar.
[00:14:14 -> 00:14:16]  Dann hilft auch der Helm nicht mehr.
[00:14:16 -> 00:14:18]  Dann hat uns der Helm keinen Weg.
[00:14:18 -> 00:14:21]  Wenn die Wand mal in der Nähe von der Position ist,
[00:14:21 -> 00:14:25]  wo sie letztendlich steht, dann dürft ihr auch wieder reinnehmen.
[00:14:25 -> 00:14:27]  Was wiegt so ein Teil?
[00:14:27 -> 00:14:29]  Eine Außenwand.
[00:14:30 -> 00:14:33]  Zwischen 1,5 und 3 Tonnen, je nach Ausführung.
[00:14:33 -> 00:14:36]  Kommt drauf an, wo die Fenster drin sind usw.
[00:14:36 -> 00:14:39]  Da ist eine zementgebundene Spannwand drauf.
[00:14:39 -> 00:14:41]  Los gehts.
[00:14:41 -> 00:14:43]  Ein mobiler Kran mit 70 t Traglast
[00:14:43 -> 00:14:47]  hebt die Außenwand inklusive Hauseingangstür.
[00:14:47 -> 00:14:52]  Kranfahrer Oliver Flath arbeitet hochkonzentriert.
[00:14:52 -> 00:14:56]  Die Hausbesitzer haben sich derweil in Sicherheit gebracht
[00:14:56 -> 00:15:01]  und beobachten das Spektakel vom Rand der Baustelle.
[00:15:01 -> 00:15:03]  Irre, ne?
[00:15:03 -> 00:15:06]  Da kommt jetzt die 1. Wand reingeflogen.
[00:15:06 -> 00:15:08]  Es ist unglaublich.
[00:15:08 -> 00:15:11]  Die ist fertig. Die ist komplett fertig.
[00:15:11 -> 00:15:14]  Die ganzen Steckdosen sind einfach drin.
[00:15:14 -> 00:15:17]  Die Wand muss exakt auf dem Mörtelstreifen sitzen.
[00:15:17 -> 00:15:19]  Für die Monteure ist das Alltag,
[00:15:19 -> 00:15:22]  für die Bauherren aber die Erfüllung eines Traums.
[00:15:22 -> 00:15:24]  Die Farbe ist sensationell.
[00:15:24 -> 00:15:26]  Ich finde es echt.
[00:15:26 -> 00:15:29]  Schöner könnte es gar nicht sein.
[00:15:29 -> 00:15:31]  Der Grauton ist genau so,
[00:15:31 -> 00:15:34]  wie wir es uns vorgestellt haben von der Haustür.
[00:15:34 -> 00:15:38]  Das ist perfekt, das passt wunderbar zusammen.
[00:15:38 -> 00:15:40]  Unglaublich.
[00:15:40 -> 00:15:43]  Nachher kannst du durchgehen durch deine Tür.
[00:15:43 -> 00:15:46]  Große Freude auch im fränkischen Neukenroth
[00:15:46 -> 00:15:50]  unweit der thüringisch-bayerischen Grenze am frühen Morgen.
[00:15:50 -> 00:15:52]  Ankunft des Lkw
[00:15:52 -> 00:15:55]  für Manuel und Tatjana Dressels Fertighaus.
[00:15:55 -> 00:15:58]  Seit einem Jahr fiebern sie diesem Tag entgegen.
[00:15:58 -> 00:16:01]  Die Nacht war kurz für das junge Ehepaar.
[00:16:01 -> 00:16:03]  Ziemlich aufgeregt.
[00:16:03 -> 00:16:06]  Jetzt sieht man, wie das auf den Lkw aussieht
[00:16:06 -> 00:16:09]  anstatt auf den Ständern in der Firma.
[00:16:09 -> 00:16:12]  Jetzt bin ich gespannt, wie lange es dauert,
[00:16:12 -> 00:16:15]  wie hoch es geht, wie es reingehoben wird.
[00:16:15 -> 00:16:17]  V.a. wie schnell es geht.
[00:16:17 -> 00:16:19]  Plane runter, Häken ran.
[00:16:19 -> 00:16:22]  Ich glaube, ich habe gar nicht geschlafen.
[00:16:22 -> 00:16:24]  Er schon, aber ich gar nicht.
[00:16:24 -> 00:16:27]  Man geht den ganzen Tag durch und überlegt,
[00:16:27 -> 00:16:30]  wie wird es, wenn die Module kommen.
[00:16:30 -> 00:16:32]  Man kann sich nicht vorstellen,
[00:16:32 -> 00:16:35]  dass heute Abend das Haus schon steht,
[00:16:35 -> 00:16:38]  dass man theoretisch schon rein kann.
[00:16:38 -> 00:16:43]  Damit das Haus in der Rekordzeit von nur einem einzigen Tag steht,
[00:16:43 -> 00:16:47]  muss ein neunköpfiger Bautrupp Schwerstarbeit verrichten.
[00:16:48 -> 00:16:52]  Das 1. Modul beinhaltet Flur, Haustechnik und Küche.
[00:16:52 -> 00:16:54]  Wir verheben das 1. Modul.
[00:16:54 -> 00:16:58]  Das kommt mit den Technikanschlüssen von dem Technikraum
[00:16:58 -> 00:17:00]  auf die 1. Position.
[00:17:00 -> 00:17:05]  Wir versuchen, 24 t auf eine millimetergenaue Position zu heben.
[00:17:05 -> 00:17:07]  Der Montageleiter aus Thüringen
[00:17:07 -> 00:17:10]  gibt dem Kranführer das Handzeichen zum Heben.
[00:17:10 -> 00:17:13]  Die 1. Herausforderung besteht darin,
[00:17:13 -> 00:17:17]  das Raummodul in 8,5 m Höhe über das Gerüst zu hieven,
[00:17:17 -> 00:17:19]  ohne es dabei zu streifen.
[00:17:19 -> 00:17:21]  Teamarbeit ist gefragt.
[00:17:21 -> 00:17:23]  Jetzt muss das Wohnmodul
[00:17:23 -> 00:17:27]  exakt auf dem Streifenfundament platziert werden.
[00:17:30 -> 00:17:32]  5 cm zu mir.
[00:17:32 -> 00:17:34]  Passt es jetzt?
[00:17:34 -> 00:17:36]  Wie genau, Ralph?
[00:17:36 -> 00:17:38]  Geschafft.
[00:17:38 -> 00:17:40]  Wie lange machen Sie das schon?
[00:17:40 -> 00:17:42]  Seit 15 Jahren.
[00:17:42 -> 00:17:44]  Es muss in die Richtung rein.
[00:17:44 -> 00:17:46]  Trotzdem ist es eine Anspannung.
[00:17:46 -> 00:17:48]  Natürlich.
[00:17:48 -> 00:17:51]  Jedes Haus hat seine eigenen Voraussetzungen.
[00:17:51 -> 00:17:55]  Manuel und Tatjana Dressel können es kaum erwarten,
[00:17:55 -> 00:17:59]  einen 1. Blick in ihr neues Zuhause zu werfen.
[00:18:01 -> 00:18:03]  Es geht jetzt wirklich schnell.
[00:18:03 -> 00:18:06]  Wenn die das runter haben, kommt der Nächste wieder.
[00:18:06 -> 00:18:08]  Das geht in eine Natur.
[00:18:08 -> 00:18:10]  Da kommt er gar nicht rein.
[00:18:10 -> 00:18:13]  Es hing am Kran, wie ich vorne war.
