[00:00:00 -> 00:00:06]  Welcome to project management.
[00:10:33 -> 00:10:37]  This is a hypothetical example of matrix structure.
[00:10:37 -> 00:10:42]  The top of this diagram shows the functional organization of the company.
[00:10:42 -> 00:10:47]  There is a special division called director of projects in addition to other functional
[00:10:47 -> 00:10:53]  divisions like engineering, manufacturing, and marketing.
[00:10:53 -> 00:11:00]  The bottom of this diagram shows the ongoing projects 1 through N. All these project managers
[00:11:00 -> 00:11:05]  report to the director, who supervises all projects.
[00:11:05 -> 00:11:11]  Each project has one administrative assistant to help the project manager, and the one for
[00:11:11 -> 00:11:14]  project N is only part-time.
[00:11:14 -> 00:11:19]  That is why there is a 0.5 in the circle.
[00:11:19 -> 00:11:23]  Project 1 involves the development of a new product.
[00:11:23 -> 00:11:30]  It requires heavy participation of people from engineering, manufacturing, and marketing.
[00:11:30 -> 00:11:37]  It has been assigned two designers, one electronics engineer, three software engineers, four assembly
[00:11:37 -> 00:11:42]  engineers, one testing engineer, and one sales representative.
[00:11:42 -> 00:11:46]  So there are a total of 14 people on the team.
[00:11:46 -> 00:11:52]  Project N involves getting customers' feedback on a new software interface for an existing
[00:11:52 -> 00:11:54]  product.
[00:11:54 -> 00:11:59]  It only needs the involvement of one designer, two software engineers, and one customer service
[00:11:59 -> 00:12:03]  specialist.
[00:12:03 -> 00:12:09]  In a matrix structure, project managers and functional managers have different responsibilities.
[00:12:09 -> 00:12:15]  A project manager's responsibilities include determining what has to be done, when should
[00:12:15 -> 00:12:22]  a task be completed, how much money is available to do the task, how well should the task be
[00:12:22 -> 00:12:25]  done, and so on.
[00:12:25 -> 00:12:32]  A functional manager in a matrix structure will decide how a task will be done technically,
[00:12:32 -> 00:12:37]  how the project involvement will impact normal functional activities, and how well the functional
[00:12:37 -> 00:12:42]  input will be integrated.
[00:12:42 -> 00:12:47]  It's the project manager and the functional manager's joint responsibilities to negotiate
[00:12:47 -> 00:12:52]  and find out the answers to these questions like who exactly will be assigned to do a
[00:12:52 -> 00:12:59]  specific task, where will the task be conducted, is the task satisfactorily completed, and
[00:12:59 -> 00:13:02]  so on.
[00:13:02 -> 00:13:07]  The matrix structure can be further divided into three different forms depending on the
[00:13:07 -> 00:13:11]  relative authority of the project and functional managers.
[00:13:11 -> 00:13:16]  The weak matrix form is very similar to a functional structure with the exception that
[00:13:16 -> 00:13:20]  there is a formally designated project manager.
[00:13:20 -> 00:13:27]  The authority of the functional managers predominates, and the project manager has indirect authority
[00:13:27 -> 00:13:32]  and plays a supporting role to facilitate project completion.
[00:13:32 -> 00:13:37]  In the balanced matrix form, the project manager sets the overall plan for the project and
[00:13:37 -> 00:13:43]  the functional manager determines how work should be done technically.
[00:13:43 -> 00:13:47]  The strong matrix form attempts to create the feel of a dedicated project team within
[00:13:47 -> 00:13:50]  a matrix environment.
[00:13:50 -> 00:13:56]  The project manager has broader control of most aspects of the project, and the functional
[00:13:56 -> 00:14:03]  departments are supporting like subcontractors to the project.
[00:14:03 -> 00:14:08]  There are several advantages of using the matrix structure to manage projects.
[00:14:08 -> 00:14:14]  First, the matrix structure encourages resource sharing.
[00:14:14 -> 00:14:19]  Resources can be efficiently and flexibly shared across multiple projects.
[00:14:19 -> 00:14:25]  Individuals can divide their energy across multiple projects as needed.
[00:14:25 -> 00:14:30]  Compared to the functional structure, the matrix structure has a relatively strong project
[00:14:30 -> 00:14:35]  focus by having a formally designated project manager who is responsible for coordinating
[00:14:35 -> 00:14:41]  and integrating contributions of different units.
[00:14:41 -> 00:14:47]  Compared to the dedicated teams, the matrix structure makes it relatively easy for post-project
[00:14:47 -> 00:14:50]  transition.
[00:14:50 -> 00:14:54]  Specialists will maintain ties with their functional group, so they have a home to return
[00:14:54 -> 00:14:59]  to once a project is completed.
[00:14:59 -> 00:15:05]  One disadvantage of using a matrix structure is that the matrix approach may create tension
[00:15:05 -> 00:15:10]  or conflicts between functional managers and project managers.
[00:15:10 -> 00:15:15]  Such tension is necessary for achieving an appropriate balance between complex technical
[00:15:15 -> 00:15:18]  issues and unique project requirements.
[00:15:18 -> 00:15:24]  But sometimes the tension could degenerate into dysfunctional conflicts like heated arguments
[00:15:24 -> 00:15:28]  and put the whole project at risk.
[00:15:28 -> 00:15:32]  Resource sharing is the nature of the matrix structure.
[00:15:32 -> 00:15:37]  Infighting can occur among project managers, who are primarily interested in what is best
[00:15:37 -> 00:15:43]  for their own projects when they have to compete for limited resources like equipment, space,
[00:15:43 -> 00:15:49]  finance, and people, which are being shared across projects and functional activities.
[00:15:49 -> 00:15:58]  Also, matrix management violates the management principle of unity of command.
[00:15:58 -> 00:16:04]  Project participants have at least two bosses, their functional manager and one or more project
[00:16:04 -> 00:16:05]  managers.
[00:16:05 -> 00:16:11]  Working in a matrix environment can be stressful because orders from the bosses may conflict
[00:16:11 -> 00:16:13]  with each other.
[00:16:13 -> 00:16:19]  Lastly, matrix management can be slow because agreements must be achieved among multiple
[00:16:19 -> 00:16:25]  functional groups, and project scheduling depends on the availability of resources that
[00:16:25 -> 00:16:29]  are shared with other projects.
[00:16:29 -> 00:16:34]  We have talked about these three project management structures as well as their advantages and
[00:16:34 -> 00:16:35]  disadvantages.
[00:16:35 -> 00:16:42]  Then, what is the right structure for an organization?
[00:16:42 -> 00:16:47]  To answer this question, we really need to determine how important the projects are to
[00:16:47 -> 00:16:48]  the organization's success.
[00:16:48 -> 00:16:54]  If they are really, really important and the organization cannot afford to fail, then a
[00:16:54 -> 00:17:00]  strong matrix structure or dedicated teams are the best choice.
[00:17:00 -> 00:17:06]  We also need to determine what percentage of core business involves projects.
[00:17:06 -> 00:17:12]  If over 75% of work involves projects, then an organization should consider a fully projectized
[00:17:12 -> 00:17:16]  structure with lots of dedicated teams.
[00:17:16 -> 00:17:22]  If an organization has both projects and standard routine production activities, then a balanced
[00:17:22 -> 00:17:26]  matrix structure would be appropriate.
[00:17:26 -> 00:17:31]  If an organization has very few projects, then a less formal arrangement and a functional
[00:17:31 -> 00:17:35]  structure is probably the best.
[00:17:35 -> 00:17:39]  The level of available human and physical resources in an organization should also be
[00:17:39 -> 00:17:44]  considered before determining the best project management structure.
[00:17:44 -> 00:17:50]  If the need for sharing resources is high, the matrix structure is the best way to go
[00:17:50 -> 00:17:59]  because it makes it easy to share resources across multiple projects and functional domains.
[00:17:59 -> 00:18:04]  Another question is what is the right structure for a specific project?
[00:18:04 -> 00:18:09]  It depends on a lot of factors like the size of the project, the strategic importance,
[00:18:09 -> 00:18:15]  novelty and need for innovation, the number of departments involved, the amount of external
[00:18:15 -> 00:18:24]  interactions, the budget and time constraints, and stability of resource requirements.
[00:18:24 -> 00:18:28]  The higher the levels of these seven factors, the more authority and control the project
[00:18:28 -> 00:18:32]  manager needs to be successful.
[00:18:32 -> 00:18:38]  Therefore, a strong matrix structure or dedicated team should be used for large projects that
[00:18:38 -> 00:18:45]  are strategically critical and are new to the company, thus requiring more innovation.
[00:18:45 -> 00:18:51]  A strong matrix structure or dedicated project team would also be appropriate for complex,
[00:18:51 -> 00:18:56]  multidisciplinary projects that require input from many departments as well as for projects
[00:18:56 -> 00:19:04]  that require constant interactions with customers, suppliers, vendors, and subcontractors.
[00:19:04 -> 00:19:10]  A strong matrix structure or dedicated project team should also be used for urgent projects
[00:19:10 -> 00:19:15]  with a tight budget and for projects that require high availability of resources when
[00:19:15 -> 00:19:18]  they are needed.
[00:19:18 -> 00:19:24]  Okay, in this video, we identified different project management structures including functional
[00:19:24 -> 00:19:30]  organization, dedicated project teams, and matrix structures.
[00:19:30 -> 00:19:34]  We talked about their advantages and disadvantages.
[00:19:34 -> 00:19:39]  We further identified three different types of matrix structures.
[00:19:39 -> 00:19:42]  This is Yong Wang, and I'll see you in the next video.
