[00:00:00 -> 00:00:04]  მხეყოுდზულ'მხანე�²76
[00:02:57 -> 00:03:00]  Ұлет, бүттіднің ал-чарт сұрғиңді.
[00:03:00 -> 00:03:04]  Әрін-даран та тұңғиң ға-сәңғу бәңғақ ұрғалдың.
[00:03:04 -> 00:03:06]  Хүріп дұрсын, 3D-бұл өл,
[00:03:06 -> 00:03:08]  бүт тұңғиң біт кечін ерілдің.
[00:03:08 -> 00:03:13]  Бүтін 3 хімджест бұғыд, бүтні әңділ бәдің дүлд.
[00:03:13 -> 00:03:16]  Бүт іднің керіл-судір, перспектив-күхмет,
[00:03:16 -> 00:03:18]  хідін технікін даға дұрсылджу алін.
[00:03:18 -> 00:03:22]  2 хімджест дизайн, бүтін Ұйлу бәдөт бәділік өптүрдің.
[00:03:22 -> 00:03:27]  Хүру бүт бішбәл, өң жұбәға бұңғын зөңерілі дұғу дұрсім.
[00:03:27 -> 00:03:29]  Ұсыл 3 хімджест бәрлған үйрдөл,
[00:03:29 -> 00:03:32]  үйрдің дүлдің дұрсынудің соңғалғам.
[00:03:32 -> 00:03:35]  Хіді флат, бойо, қафта дизайн түчпід өмнүқ ерсін технікер
[00:03:35 -> 00:03:38]  бүйті 10 жәттәмен қараңдол жұбалдық.
[00:03:38 -> 00:03:42]  Ұдур түтмен цұғам жоғдад, бүйті ең әшіңіліқ түрлған әлға құәділған.
[00:03:42 -> 00:03:46]  Ұқтай джиджік түзілістерд, бүйт іңгейін сөудірің ұрғол түсінір,
[00:03:46 -> 00:03:48]  нілу саланғат қараңдол жүтча түчпід.
[00:03:49 -> 00:03:53]  Ұңғейін бүйт, дұрсу түт, тәні әдшілі қаққалта қараңдол жұбалдың.
[00:03:53 -> 00:03:56]  Сөңғалта қараңдолға түтшіл, түңғалін әлү түшу.
[00:04:12 -> 00:04:26]  🎷🎷🎷
[00:04:26 -> 00:04:36]  🎷🎷🎷
[00:04:36 -> 00:04:39]  TEXTURE
[00:04:39 -> 00:04:43]  Teksturbal elva qatargoni fetsig sinchanarik ilirkildig.
[00:04:43 -> 00:04:46]  Yagil bitschig enin xartxursch balghar,
[00:04:46 -> 00:04:48]  3 heimzest beadbalin,
[00:04:48 -> 00:04:52]  isvil 2 heimzester ilirkild harolchitbalin.
[00:04:52 -> 00:04:54]  Dizayn tekstur harilxan,
[00:04:54 -> 00:04:57]  illu bedut midrimch ormzag ilirkildi tsadzidig.
[00:04:57 -> 00:04:59]  Inkisner ingi haftgai tsorunodun,
[00:04:59 -> 00:05:01]  gulgur, artsar,
[00:05:01 -> 00:05:04]  xatto isvil dzuln sinchanarde haragdnagizug.
[00:05:04 -> 00:05:06]  Anghalan soltsakchidat,
[00:05:06 -> 00:05:08]  teksturun backgroundboyo devsgirsorit
[00:05:08 -> 00:05:11]  ashegilxan khelbar bugud qayxalda haragduldig.
[00:05:11 -> 00:05:13]  Illu naryin harval teksturun
[00:05:13 -> 00:05:15]  midni tusoglugu agadzorodat tsujbeddig.
[00:05:15 -> 00:05:17]  Txishan Hodgerson mit haragdzidu kusgin fondud,
[00:05:17 -> 00:05:20]  mongelgar tongulag aykaunodat tsujbas.
[00:05:20 -> 00:05:22]  Kite xitrulang ilirkilges balgharamchilare,
[00:05:22 -> 00:05:25]  tsukhunnik dizaynt, xitrkii xit tekstur ashegilxan
[00:05:25 -> 00:05:27]  tani dizaynik sutkich mitnshu.
[00:05:27 -> 00:05:29]  Tentsurboyo balansin ingi niral
[00:05:29 -> 00:05:32]  xaradzun tiksh hovayarlil tgidu algocholun.
[00:05:32 -> 00:05:33]  Oruir hilbil,
[00:05:33 -> 00:05:35]  alnigin utsuchbuy xuniaxarlik
[00:05:35 -> 00:05:37]  hirtatgheik ilirkilchu balun.
[00:05:37 -> 00:05:39]  Balansin anghalan soltsakchidat,
[00:05:39 -> 00:05:40]  txishen ung.
[00:05:40 -> 00:05:42]  Tentsurtbeddil ung, himje, to,
[00:05:42 -> 00:05:44]  suruq arundzatserik anghalan soltsakchidat
[00:05:44 -> 00:05:45]  nuluolchu balun.
[00:05:45 -> 00:05:47]  Tentsurig, tuk sitzimshkin,
[00:05:47 -> 00:05:48]  anghalan soltsakchidat,
[00:05:48 -> 00:05:49]  tim chamarbish.
[00:05:49 -> 00:05:50]  Txichurin dzerim txoltul
[00:05:50 -> 00:05:52]  dzunsevungu ashegilag xardlagardig.
[00:05:52 -> 00:05:54]  Atzar dizayni yurtundzud,
[00:05:55 -> 00:05:57]  aln txishenud xaz eguibi.
[00:05:57 -> 00:05:59]  Tikshimd tizaynin,
[00:05:59 -> 00:06:00]  tinxilgin hoyurtalt,
[00:06:00 -> 00:06:02]  ijilisvul tstobeddig.
[00:06:02 -> 00:06:04]  El eltalot ijil tstobeddigtol,
[00:06:04 -> 00:06:06]  titgerin tentsurde zanaktsudig.
[00:06:06 -> 00:06:08]  Yaga atlans bisholchudi.
[00:06:08 -> 00:06:10]  Tikshimgu dzagurun,
[00:06:10 -> 00:06:11]  uunis yalgata baloch,
[00:06:11 -> 00:06:12]  puttsin yuruhidu,
[00:06:12 -> 00:06:14]  jigt tarxsumen.
[00:06:14 -> 00:06:16]  Txakhamdzin tentsurde besnara,
[00:06:16 -> 00:06:18]  angharlik dzuv tseglit handoltig.
[00:06:18 -> 00:06:20]  Alam humus 3-1-in,
