[00:00:00 -> 00:00:02]  hi sabe jana lai
[00:05:58 -> 00:06:01]  tabay ko chai yo y sangat jun huncha ni
[00:06:01 -> 00:06:03]  Islai chai hamile
[00:06:03 -> 00:06:05]  tabay ko kusto huncha
[00:06:05 -> 00:06:07]  MPS mancha, okay.
[00:06:07 -> 00:06:09]  Saving ma chai MPS huncha
[00:06:09 -> 00:06:11]  ara tabay ko chai
[00:06:11 -> 00:06:13]  consumption ma chai MPC huncha.
[00:06:13 -> 00:06:15]  La, so, aba
[00:06:16 -> 00:06:18]  K is cost to MPS deko bhela
[00:06:18 -> 00:06:21]  1 upon 1 minus MPC
[00:06:21 -> 00:06:23]  So, 1
[00:06:23 -> 00:06:25]  1 my
[00:06:25 -> 00:06:27]  MPC bhaniko 0.9
[00:06:27 -> 00:06:31]  La, 1 by 0.1 bhaniko
[00:06:31 -> 00:06:33]  10 answer aako chha.
[00:06:37 -> 00:06:38]  So,
[00:06:38 -> 00:06:40]  yohi tabay ko bhayo
[00:06:40 -> 00:06:42]  MPS ko lagi.
[00:06:42 -> 00:06:44]  Ara MPS bhaniko consumption deko chha bhane
[00:06:44 -> 00:06:47]  yohi y sanga bhako chha MPC huncha hai.
[00:06:47 -> 00:06:49]  Ara MPS bhaniko tabay la chai yo bhane
[00:06:49 -> 00:06:51]  te 1 minus MPS
[00:06:51 -> 00:06:53]  kere MPC ghar dinu
[00:06:53 -> 00:06:55]  yaha bada MPS huncha.
[00:06:55 -> 00:06:56]  So, 10 bhayo.
[00:06:56 -> 00:06:58]  Ara jaba saving deko huncha
[00:06:58 -> 00:07:00]  saving sanga jun y huncha ni
[00:07:00 -> 00:07:02]  islai chai hami MPS mancho.
[00:07:02 -> 00:07:04]  Raita?
[00:07:04 -> 00:07:06]  La,
[00:07:06 -> 00:07:08]  3 ta part 2 ma bhayo.
[00:07:08 -> 00:07:10]  Aba part 3rd ma
[00:07:10 -> 00:07:12]  tabay ko 10 marks question ara auncha.
[00:07:12 -> 00:07:14]  So, kei confusion haru bhakho chha bhani
[00:07:14 -> 00:07:16]  comment gano la.
[00:07:16 -> 00:07:18]  Okay, thank you.
[00:07:19 -> 00:07:21]  Thank you.
