[00:00:00 -> 00:00:02]  12 steps of construction.
[00:06:03 -> 00:06:05]  has been completed.
[00:06:05 -> 00:06:07]  It is now time for the project to go up.
[00:06:07 -> 00:06:10]  The next thing to consider is the rebar works,
[00:06:10 -> 00:06:14]  shuttering or formworks and concreting to be done.
[00:06:14 -> 00:06:16]  Prior to concreting, we see to it that the columns
[00:06:16 -> 00:06:18]  follow the structural schedule.
[00:06:18 -> 00:06:21]  The formworks should be vertically level and a standard.
[00:06:21 -> 00:06:23]  Concrete cover has to maintain
[00:06:23 -> 00:06:25]  prior to the closing of forms.
[00:06:25 -> 00:06:28]  12, beam and slab works.
[00:06:28 -> 00:06:31]  Once the ground floor columns have been cast,
[00:06:31 -> 00:06:33]  it is time to prepare the project for beams
[00:06:33 -> 00:06:36]  and suspended slab reinforcement activity.
[00:06:36 -> 00:06:38]  Like any other structural members,
[00:06:38 -> 00:06:42]  beams and slab reinforcement should be followed strictly.
[00:06:42 -> 00:06:44]  Shuttering or formworks for slab and beams
[00:06:44 -> 00:06:45]  should be properly anchored
[00:06:45 -> 00:06:48]  and checked prior to concrete pouring.
[00:06:48 -> 00:06:51]  Step 11 can be repeated accordingly until such time
[00:06:51 -> 00:06:53]  that the structural frame or the core and shell
[00:06:53 -> 00:06:55]  of the structure has been completed.
[00:06:55 -> 00:06:59]  The architectural finishing works are then be followed.
[00:06:59 -> 00:07:00]  Thanks for watching.
[00:07:00 -> 00:07:02]  Please subscribe for more.
