[00:00:00 -> 00:00:02]  Ich weiß, ich hab noch nie in meinem Leben so ein langes YouTube-Video hochgeladen.
[00:00:57 -> 00:01:00]  In der allgemeinen Form hat die Exponentialfunktion die Basis A.
[00:01:00 -> 00:01:02]  In der Mathematik schreibt man das dann wie folgt auf.
[00:01:02 -> 00:01:04]  F von X gleich A hoch X.
[00:01:04 -> 00:01:08]  Dabei solltet ihr den Hinterkopf behalten, dass dann für A immer eine positive, reelle Zahl eingesetzt wird.
[00:01:08 -> 00:01:13]  So, und in der Schule kennt ihr das Ganze dann unter dem Namen hier E-Funktion.
[00:01:13 -> 00:01:18]  Also das heißt, die Basis, die ich euch gerade gezeigt habe, dieses A, ist in der Schule dann ein E.
[00:01:18 -> 00:01:22]  Das ist die sogenannte Exponentialfunktion, wie die auch die meisten von euch kennenlernen werden.
[00:01:22 -> 00:01:25]  Aber mir war es wieder sehr wichtig, euch zu zeigen, wie seine Mutter heißt.
[00:01:25 -> 00:01:29]  Und so wie das die meisten von euch aus der Schule kennen, ist die Basis A nicht da, sondern E.
[00:01:29 -> 00:01:31]  Und deswegen sieht dann die Funktion in der Schule auch meistens so aus.
[00:01:31 -> 00:01:33]  Man nennt sie ja Exponential, also E-Funktion.
[00:01:33 -> 00:01:34]  Das sieht dann wie folgt aus.
[00:01:34 -> 00:01:38]  Dann habt ihr F von X gleich E hoch X.
[00:01:38 -> 00:01:42]  Ich habe euch ja gerade gesagt, dass dann für die Basis A irgendeine Zahl festgelegt wird.
[00:01:42 -> 00:01:45]  Und so ist es auch in dem Fall natürlich bei der E-Funktion.
[00:01:45 -> 00:01:46]  E ist eine Eulerische Zahl.
[00:01:46 -> 00:01:50]  Ist dann gerundet 2,72.
[00:01:50 -> 00:01:56]  Ist der festgesetzte Wert für die Eulerische Zahl, also für unser E.
[00:01:56 -> 00:01:58]  Hier habt ihr ja noch einige Dinge, die ihr vielleicht gar nicht kennt.
[00:01:58 -> 00:02:02]  Also E-Funktion, da sagt ihr alle, boah, kenne ich, kenne ich, ja man, kenne ich.
[00:02:02 -> 00:02:07]  Aber die wenigsten, ich glaube außer Leistungskurssteller, wissen, dass man das Ganze Exponentialfunktion mit der Basis E nennt.
[00:02:07 -> 00:02:11]  Oder auch halt, wie gesagt, die ganz unten, natürliche Exponentialfunktion.
[00:02:11 -> 00:02:12]  Habt ihr das jetzt bis hierhin gecheckt?
[00:02:12 -> 00:02:13]  Korrekt, Bruder.
[00:02:13 -> 00:02:18]  Aber jetzt werden wir detaillierter darauf eingehen, einmal auf Exponentialfunktion mit der Basis A.
[00:02:18 -> 00:02:21]  Und einmal auf Exponentialfunktion mit der Basis E.
[00:02:21 -> 00:02:26]  Also ich hab euch ja gerade gesagt, dass A ein Element aller positiven, reellen Zahlen ist, außer 0.
[00:02:26 -> 00:02:30]  Und wenn man das Ganze mathematisch aufschreibt, das sieht wie folgt aus.
[00:02:30 -> 00:02:35]  AA, einfach Stimmbruch gehabt, ich hab diese A richtig tief genommen.
[00:02:35 -> 00:02:41]  A ist Element aller positiven, reellen Zahlen, außer 0.
[00:02:41 -> 00:02:46]  Und auf Billo gesagt, heißt das einfach, dass für A alle positiven, reellen Zahlen zunächstig sind.
[00:02:46 -> 00:02:53]  Also jetzt in dem Fall 3, 4, 2,5, 1,3, all diese Zahlen sind zulässig.
[00:02:53 -> 00:02:56]  Was aber nicht zulässig ist, also diese Zahlen, die ich euch jetzt nenne, sind haram.
[00:02:56 -> 00:02:57]  Du bettest doch gar nicht für ein Fahramtag.
[00:02:57 -> 00:03:03]  Sagen wir 0, minus 1, minus 1,3, das sind Zahlen, die nicht zulässig sind.
[00:03:03 -> 00:03:06]  Und Leute, damit ihr das jetzt auch noch ein bisschen besser checkt,
[00:03:06 -> 00:03:10]  stellt euch das Ganze so vor, wie so eine Art Vertrag, sagen wir, okay?
[00:03:10 -> 00:03:14]  Das hier, was ich euch jetzt gerade erklärt habe, ist die erste Bedingung, okay?
[00:03:14 -> 00:03:15]  Merkt euch das.
[00:03:15 -> 00:03:20]  Und die zweite Bedingung, schreiben wir auf, zweite Bedingung, lautet wie folgt.
[00:03:20 -> 00:03:23]  A ist ungleich 1.
[00:03:23 -> 00:03:28]  Das heißt ganz einfach, A kann alle positiven, reellen Werte annehmen, außer 1 und 0.
[00:03:28 -> 00:03:32]  Also merkt euch in diesem Fall, haram, 1 und 0, bei der zweiten Bedingung.
[00:03:32 -> 00:03:35]  Jetzt habe ich hier was aufgezeichnet, das ist so ein Zahlenstrahl.
[00:03:35 -> 00:03:40]  Einfach nur, damit ihr das noch vielleicht so ein bisschen visuell einfach vor Augen euch vorstellen könnt.
[00:03:40 -> 00:03:44]  Und zwar habe ich hier aufgeschrieben, ihr seht ja einfach Element aller reellen Zahlen.
[00:03:44 -> 00:03:48]  Hier habe ich positiv und negativ, beides habe ich hier aufgezeichnet.
[00:03:48 -> 00:03:51]  Hier habe ich einmal bis Plus die Unendlichkeit und hier habe ich einmal bis Minus die Unendlichkeit.
[00:03:51 -> 00:03:54]  Und jetzt versuche ich mal, diese erste Bedingung, die wir hatten,
[00:03:54 -> 00:04:00]  A ist Element aller reellen positiven Zahlen, außer 0, zeichne ich euch jetzt mal hier ein.
[00:04:00 -> 00:04:04]  Das heißt ja für uns, wie ich gerade gesagt habe, das Negative ist haram,
[00:04:04 -> 00:04:07]  weil wir haben hier nur das Element aller reellen positiven Zahlen.
[00:04:07 -> 00:04:11]  Sprich, das hier fällt für uns schon mal ganz weg.
[00:04:11 -> 00:04:14]  Also keine negativen Zahlen kommen für uns in Betracht.
[00:04:14 -> 00:04:19]  Jetzt arbeiten wir ja nur mit dieser Seite, weil wir gesagt haben, Element aller reellen positiven Zahlen.
[00:04:19 -> 00:04:23]  Okay, das ist jetzt das Element der reellen positiven Zahlen.
[00:04:23 -> 00:04:29]  Und ich habe ja hier stehen, außer 0 ebenfalls, das heißt die 0 fällt weg.
[00:04:29 -> 00:04:32]  Jetzt seht ihr das Ganze, 0 fällt weg, negativen Zahlen, alles weg.
[00:04:32 -> 00:04:36]  Wir arbeiten nur noch hier mit dem Element aller reellen positiven Zahlen.
[00:04:36 -> 00:04:38]  Das ist die erste Bedingung.
[00:04:38 -> 00:04:40]  Jetzt kommen wir zu unserer zweiten Bedingung.
[00:04:40 -> 00:04:44]  Und hier haben wir ja gesagt, dass A ungleich 1 ist.
[00:04:44 -> 00:04:46]  Jetzt fällt auch die 1 weg.
[00:04:46 -> 00:04:53]  Das heißt jetzt ganz einfach, dass alle Elemente, die zwischen 0 und 1 liegen und auch was danach kommt, sind zulässig.
[00:04:53 -> 00:04:55]  Aber 0 und 1 eben nicht.
[00:04:55 -> 00:05:00]  Darum habe ich euch hier alles so schwarz markiert, damit ihr wisst, jeder kleine Furz ist zulässig, außer 0 und 1.
[00:05:00 -> 00:05:06]  Und jetzt schreiben wir uns einfach mal die erste und zweite Bedingung mathematisch zusammengefasst auf.
[00:05:06 -> 00:05:08]  Okay, das würde dann wie folgt aussehen.
[00:05:08 -> 00:05:12]  Ich habe ja gesagt, A ist ein Element aller positiven reellen Zahlen.
[00:05:12 -> 00:05:17]  So, und jetzt haben wir ja noch hier dazubekommen, die Information, dass 0 und 1 nicht dazugehören.
[00:05:17 -> 00:05:18]  Eben aufgrund der zweiten Bedingung.
[00:05:18 -> 00:05:21]  Und das Ganze schreibt man mathematisch dann wie folgt aus.
[00:05:21 -> 00:05:31]  A ist Element aller positiven reellen Zahlen, außer die Elemente, die wir jetzt aufgrund der zweiten Bedingung noch dazubekommen haben, 0 und 1.
[00:05:31 -> 00:05:37]  Ey, warum passt in diesem Fall jetzt bei der ersten Bedingung zum Beispiel die 0 nicht rein?
[00:05:37 -> 00:05:38]  Wie sieht das aus?
[00:05:38 -> 00:05:39]  Also, komm, wir machen mal folgendes Beispiel.
[00:05:39 -> 00:05:42]  Wir haben jetzt hier die Funktion f von x.
[00:05:42 -> 00:05:46]  Wir setzen jetzt mal 0 ein für unsere Basis A.
[00:05:46 -> 00:05:49]  Dann hätten wir ja hier stehen, 0 hoch x.
[00:05:49 -> 00:05:53]  Jetzt sagen wir mal, wir setzen für x irgendein Wert ein.
[00:05:53 -> 00:05:54]  Denkt euch irgendein Wert aus?
[00:05:54 -> 00:05:55]  Was soll ich sagen, Bruder?
[00:05:55 -> 00:05:56]  Korrekt, Bruder.
[00:05:56 -> 00:05:58]  So, was heißt das Ganze jetzt für uns?
[00:05:58 -> 00:06:01]  Wie gesagt, egal was ich jetzt für x einsetze, es bleibt immer 0.
[00:06:01 -> 00:06:08]  Das heißt, unsere Funktion hier, dieses f von x, ist 0 und somit eine konstante Funktion.
[00:06:08 -> 00:06:11]  Und deswegen ist auch dieser 0-Wert nicht zulässig.
[00:06:11 -> 00:06:13]  Ich zeichne das Ganze mal im Koordinatensystem ein.
[00:06:13 -> 00:06:17]  So, hier haben wir wieder unser f von x, beziehungsweise unser y.
[00:06:17 -> 00:06:18]  Und hier haben wir ja unsere x-Achse.
[00:06:18 -> 00:06:23]  Jetzt müsst ihr euch einfach vorstellen, wir haben ja hier unsere ganzen Werte, und wir haben hier unsere ganzen Werte.
[00:06:23 -> 00:06:26]  Und wir haben ja gerade folgendes herausgefunden.
[00:06:26 -> 00:06:29]  Es ist ja völlig egal, was wir jetzt für x einsetzen, es bleibt 0.
[00:06:29 -> 00:06:36]  Sprich, sage ich jetzt mal, ich setze für x 1 ein, dann wird ja mein Wert auch dementsprechend hier auf der x-Achse liegen.
[00:06:36 -> 00:06:40]  Wir haben ja gerade herausgefunden, es ist egal, was wir für x einsetzen, wir erhalten immer 0.
[00:06:40 -> 00:06:44]  Sprich, wenn wir das dann alles hier einsetzen würden und versuchen würden, einzuzeichnen,
[00:06:44 -> 00:06:48]  würden wir einfach hier so eine gerade Linie bekommen, eine Konstante.
[00:06:48 -> 00:06:51]  Und somit haben wir es hiermit mit einer konstanten Funktion zu tun.
[00:06:51 -> 00:06:54]  Und das Gleiche machen wir jetzt mal für die zweite Bedingung, die wir hier stehen haben.
[00:06:54 -> 00:06:56]  Wir machen jetzt mal hier folgendes Beispiel.
[00:06:56 -> 00:07:00]  Die Basis ist hier in unserem Fall die Zahl 1 und dann halt hoch x.
[00:07:00 -> 00:07:03]  Und nochmal so kurz, damit ihr so ein bisschen checkt.
[00:07:03 -> 00:07:08]  Ich habe ja jetzt wirklich genau die Werte genommen, die ich eigentlich eben nicht verwenden soll.
[00:07:08 -> 00:07:10]  Einfach nur, um euch zu zeigen, warum man das eben nicht macht.
[00:07:10 -> 00:07:15]  Und das Ganze mache ich jetzt mal hier mit Hilfe der Wertetabelle, die ihr auch aus den anderen Videos von mir schon kennt.
[00:07:15 -> 00:07:18]  Hier haben wir die x-Werte, hier unten haben wir f von x bzw. y.
[00:07:18 -> 00:07:29]  Wir setzen für x, sagen wir mal, 13 ein, sagen wir mal 9 setzen wir ein, minus 2, nehmen wir mal 6, nehmen wir mal 8 und nehmen wir mal 7.
[00:07:29 -> 00:07:32]  Das Ganze dürft ihr an der Schule auch in den Taschenrechner eingeben.
[00:07:32 -> 00:07:36]  Aber in einem anderen Video werde ich mal genau darauf eingehen, wie ihr sowas auch im Kopf rechnen könnt.
[00:07:36 -> 00:07:39]  Und gerade so bei so negativen Zahlen, das wird manchmal so ein bisschen tricky.
[00:07:39 -> 00:07:42]  Das werde ich euch in einem anderen Video auch immer so genauer erklären, damit ihr da so keine Fehler macht.
[00:07:42 -> 00:07:46]  Falls ihr mal keinen Taschenrechner da habt, Batterie leer ist oder so, weil ihr auf Geier-Modus Mr. Krabs seid und so.
[00:07:46 -> 00:07:50]  So und wenn wir jetzt unsere Wertetabelle betrachten, erhalten wir, dass der Funktionswert immer 1 ist.
[00:07:50 -> 00:07:52]  Und das Ganze markieren wir uns einfach mal.
[00:07:52 -> 00:07:58]  f von x ist 1, egal welchen x-Wert wir hier an dieser Stelle einsetzen.
[00:07:58 -> 00:08:03]  Und daraus folgt letzten Endes, dass f von x gleich 1 ist.
[00:08:03 -> 00:08:09]  Und auch hier haben wir wie im Beispiel davor, beziehungsweise wie bei der ersten Bedingung, eine konstante Funktion.
[00:08:09 -> 00:08:14]  Und weil wir das schon vorhin gemacht haben, nochmal ganz kurz erklärt, wie gesagt, hier nochmal ein Koordinatensystem veranschaulicht.
[00:08:14 -> 00:08:19]  Es ist egal, welchen Wert wir einsetzen für x, wir erhalten letzten Endes immer 1 und demnach haben wir wieder hier eine konstante Funktionswerte.
[00:08:19 -> 00:08:27]  So und mittlerweile haben wir ja Folgendes gelernt, dass die Bedingung gilt, a ist Element aller positiven reellen Zahlen außer 0 und 1.
[00:08:27 -> 00:08:33]  Und jetzt möchte ich euch aber zeigen, wie diese Funktion im Groben natürlich in einem Koordinatensystem aussieht.
[00:08:33 -> 00:08:40]  Dafür werde ich euch jetzt zwei Fälle zeigen, weil im Gegensatz zu den linearen Funktionen gibt es hier zwei unterschiedliche Fälle.
[00:08:40 -> 00:08:44]  Jetzt betrachten wir hier den ersten Fall, wo a zwischen 0 und 1 liegt.
[00:08:44 -> 00:08:49]  Das aufgeschrieben heißt, dass a größer 0 ist, aber kleiner 1.
[00:08:49 -> 00:08:51]  So, was heißt das Ganze jetzt für euch?
[00:08:51 -> 00:08:58]  Also das heißt, dass vielleicht jetzt in der Schule oder so, der Lehrer einfach für die Basis a einen bestimmten Wert festsetzen könnte.
[00:08:58 -> 00:09:09]  Sagen wir mal 0,3, 0,4, irgendeinen Wert und wir nehmen jetzt mal als Beispiel für unsere Funktion einfach f von x gleich 0,5 hoch x.
[00:09:09 -> 00:09:11]  Und hier haben wir jetzt schon mal eine Regel für den ersten Fall.
[00:09:11 -> 00:09:15]  Je größer der x-Wert wird, desto kleiner wird der Funktionswert.
[00:09:15 -> 00:09:20]  Und bevor ich jetzt hier irgendwas aufzeichne, nochmal so mein Tipp an euch, einfach nur um die Korrektheit eurer Lösung zu prüfen.
[00:09:20 -> 00:09:29]  Merkt euch einfach, in diesem Fall gilt, wenn a innerhalb dieses Intervalls liegt, dann sieht die Funktion in einem Koordinatensystem immer wie folgt aus.
[00:09:29 -> 00:09:31]  Jetzt ganz grob skizziert.
[00:09:31 -> 00:09:35]  Wichtig dabei ist einfach sich zu merken, dass die keinesfalls die x-Achse schneidet.
[00:09:35 -> 00:09:41]  Die könnte jetzt auch, sag ich mal, hier drunter sein, die könnte jetzt hier gehen, aber die schneidet jedenfalls nicht die x-Achse.
[00:09:41 -> 00:09:41]  Merkt euch das.
[00:09:41 -> 00:09:48]  So, bevor ich das Ganze jetzt etwas genauer versuche in ein Koordinatensystem einzuzeichnen, habe ich wie immer erst mal hier unsere Wertetabelle aufgezeichnet,
[00:09:48 -> 00:09:52]  um euch dann halt zu zeigen, welche Werte ich jetzt für x in meinem Fall einsetzen möchte.
[00:09:52 -> 00:09:56]  Hier haben wir einmal 0,5 hoch x, wenn ich jetzt Minus 4 nach 4 einsetze.
[00:09:56 -> 00:10:10]  16, hier erhalten wir 4, etwas hoch 0 ist immer 1, hier erhalten wir in dem Fall natürlich 0,5 und hier müssten das 0,125 sein.
[00:10:10 -> 00:10:16]  So, wir haben jetzt hier unsere Wertetabelle und möchten diese Werte auch jetzt natürlich in das Koordinatensystem übertragen.
[00:10:16 -> 00:10:23]  Ich habe das Ganze wieder ganz, ganz grob aufgezeichnet, weil, ey, hier oben 16, wohin, mein Zimmer ist nicht mal zu groß, soll ich an die Decke malen oder was?
[00:10:23 -> 00:10:25]  Aber ich zeichne jetzt einmal hier durch, damit ihr das seht.
[00:10:25 -> 00:10:32]  Ihr müsst euch vorstellen, das geht jetzt die ganze Zeit hier durch, aber wird niemals die x-Achse berühren, weil das ist haram.
[00:10:32 -> 00:10:33]  Und guckt mal, wie real ich bin.
[00:10:33 -> 00:10:39]  Ich habe euch gerade schon gesagt, in meiner Skizze, wetten, dass die Funktion so aussehen wird und jetzt kann ich meine Lösung prüfen.
[00:10:39 -> 00:10:42]  Guckt mal, das ähnelt dem.
[00:10:42 -> 00:10:46]  Ich habe gar nicht so gemacht von der anderen Seite oder so, weil, wohin, dann wüsste ich direkt, es ist falsch.
[00:10:46 -> 00:10:49]  Aber jetzt hieran kann ich wirklich prüfen, okay, kann das stimmen?
[00:10:49 -> 00:10:51]  Und das Ganze, seht ihr ja, in unserem Fall stimmt das.
[00:10:51 -> 00:10:57]  Warum? Weil wir haben ja auch hier wirklich einen Wert angenommen für unsere Basis, der in diesem Intervall des ersten Falles liegt.
[00:10:57 -> 00:11:06]  Und deswegen stimmt auch folglich meine Prognose quasi mit dem Koordinatensystem, was ich dann letztendlich mithilfe der Wertetabelle aufgezeichnet habe.
[00:11:06 -> 00:11:11]  So, jetzt befassen wir uns mit unserem zweiten Fall und machen im Grunde genommen das Gleiche, was wir jetzt hier gemacht haben.
[00:11:11 -> 00:11:15]  Auch halt für den zweiten Fall, sprich, befassen wir uns jetzt mit diesem Teil hier auf unserem Zahlenstrahl.
[00:11:15 -> 00:11:21]  Aber als erstes fangen wir natürlich an und schreiben unsere Regelung hier auf, was hier gilt.
[00:11:21 -> 00:11:23]  Hier gilt, a ist größer 1.
[00:11:28 -> 00:11:35]  Und auch hier heißt es wieder, dass der Lehrer in unserem Fall für die Basis dann irgendeine Zahl nehmen kann, die halt größer 1 ist.
[00:11:35 -> 00:11:40]  1,1, 2, 3,3, irgendwas in dem Bereich.
[00:11:40 -> 00:11:43]  Machen wir uns mal hier so eine Beispielfunktion.
[00:11:43 -> 00:11:48]  So, das ist jetzt unsere Beispielfunktion und ohne jetzt erstmal hier was zu rechnen, werde ich wieder eine Prognose aufstellen, wie gerade.
[00:11:48 -> 00:11:54]  Ich werde euch schwören, dass das Ganze ungefähr so aussehen wird, von mir aus auch so.
[00:11:54 -> 00:11:57]  Fakt ist, es wird auch in diesem Fall nicht die x-Achse schneiden.
[00:11:57 -> 00:12:03]  Und jetzt zeichne ich mal unsere Wertetabelle auf und dann versuchen wir das für dieses Beispiel in einem Koordinatensystem genauer zu veranschaulichen.
[00:12:03 -> 00:12:07]  So, wir haben jetzt hier wieder unsere Wertetabelle aufgezeichnet und wie gesagt, das Ganze werde ich jetzt wieder versuchen,
[00:12:07 -> 00:12:08]  als Koordinatensystem zu übertragen.
[00:12:08 -> 00:12:14]  Ich habe jetzt auch schon für jeden x-Wert seinen dazugehörigen Funktionswert hier eingezeichnet und das Ganze verbinde ich jetzt mal wieder ganz grob,
[00:12:14 -> 00:12:16]  damit ihr das mal so sehen könnt.
[00:12:16 -> 00:12:21]  Und was wir jetzt anhand dieses Schaubilds erkennen können, ist, dass der Funktionsgraf ja hier steil nach oben geht
[00:12:21 -> 00:12:26]  und dementsprechend heißt das auch für uns zusammengefasst, je größer der x-Wert, desto größer auch der Funktionswert.
[00:12:26 -> 00:12:34]  So Leute, jetzt haben sich bestimmt einige von euch gefragt, ey, du meinst zu uns vorhin, dass die Basis a keine negative Zahl annehmen darf.
[00:12:34 -> 00:12:36]  So, und jetzt wollt ihr bestimmt wissen, warum das der Fall ist.
[00:12:36 -> 00:12:39]  Also es ist ganz einfach, da gibt es so eine kleine Rechenregel, die dahinter steckt
[00:12:39 -> 00:12:44]  und wir haben ja gesagt, dass unsere Basis a keine negative Zahl annehmen darf und auch nicht 0 und 1,
[00:12:44 -> 00:12:46]  denn ansonsten ist es ja keine Exponentialfunktion.
[00:12:46 -> 00:12:50]  Und auf Grundlage dieses Wissens machen wir jetzt mal hier so eine Beispielfunktion.
[00:12:50 -> 00:12:58]  Nehmen wir einfach mal für a jetzt so einen negativen Wert, damit jetzt etwas passieren würde, wenn ich mal dem Ganzen einfach widersprechen würde.
[00:12:58 -> 00:13:00]  Nehmen wir einfach mal minus 3, okay?
[00:13:00 -> 00:13:06]  Und jetzt sagen wir minus 3 hoch x haben wir hier stehen und wir wissen ja, dass unser x hier nur bestimmte Werte annehmen darf,
[00:13:06 -> 00:13:11]  was ja eigentlich nicht der Fall sein darf, weil ja eben x alle reellen Werte annehmen können sollte.
[00:13:11 -> 00:13:12]  Wir widersprechen einfach allem.
[00:13:12 -> 00:13:16]  Jetzt nehme ich einfach mal für unser x hier den Wert 0,5.
[00:13:16 -> 00:13:17]  Ich schreibe euch die Funktion jetzt nochmal hier auf.
[00:13:17 -> 00:13:21]  Und jetzt kommen wir zu so einer kleinen Matheregel und jetzt haben wir hier im Exponenten hier die 0, Zahl
[00:13:21 -> 00:13:26]  und wenn wir das jetzt mathematisch umformulieren möchten, dann würde das wie folgt aussehen.
[00:13:26 -> 00:13:31]  So, ich würde das jetzt alles in ein Buch schreiben und folglich würde sich, jetzt kommt nämlich halt die Regel,
[00:13:31 -> 00:13:36]  folgendes dann ergeben, 2 und dann hätte man die Wurzel aus einer negativen Zahl.
[00:13:36 -> 00:13:39]  Das nennt man halt die zweite Wurzel und jetzt in dem Fall von einer negativen Zahl,
[00:13:39 -> 00:13:43]  was aber in der Menge der reellen Zahlen nicht möglich ist.
[00:13:43 -> 00:13:45]  Manche wundern sich jetzt vielleicht, warum hier jetzt der 2 steht.
[00:13:45 -> 00:13:50]  In der Schule meistens habt ihr die gar nicht da stehen und habt da einfach nur so Wurzel aus minus 3,
[00:13:50 -> 00:13:54]  aber das funktioniert ja mathematisch nicht, weil wie ihr es auch in der Schule kennt, aus Summen ziehen nur die Dummen.
[00:13:54 -> 00:13:57]  Ich hab's geschafft, Punkt, ihr könnt nichts sagen.
[00:13:57 -> 00:14:00]  Und was wir jetzt halt hieraus wissen, wie gesagt, ihr könnt hieraus keine Wurzel ziehen.
[00:14:00 -> 00:14:02]  In der Menge der reellen Zahlen zumindest nicht.
[00:14:02 -> 00:14:07]  Das heißt auch, dass wir dazu gar keine Funktionsweite bekommen und demnach handelt es sich auch hierbei gar nicht um eine Exponentialfunktion.
[00:14:07 -> 00:14:11]  Darum sage ich ja, die Basis darf nicht negativ sein.
[00:14:11 -> 00:14:16]  Und falls ich jetzt von einigen von euch den Kopf gefickt habe, macht euch keine Sorgen, euer Habibi ist da.
[00:14:16 -> 00:14:20]  Ich werde demnächst ein Mathe-Video machen, wo ich euch richtig viele Rechenregeln zeige
[00:14:20 -> 00:14:25]  und dann auch noch so marokkanische Tricks dazwischen, damit ihr so dribbeln könnt und besser durchkommt.
[00:14:25 -> 00:14:33]  So, jetzt kommen wir zum nächsten Punkt und jetzt haben wir hier die Exponentialfunktion mit der Basis E oder auch anders genannt die E-Funktion.
[00:14:33 -> 00:14:35]  So, jetzt schreiben wir mal eine Beispielfunktion auf.
[00:14:35 -> 00:14:39]  F von X gleich E hoch.
[00:14:39 -> 00:14:41]  Ich beschreibe jetzt einfach mal in Klammern hier Zahlen, okay?
[00:14:41 -> 00:14:45]  Stellt euch das einfach vor, diese Zahl hier im Exponenten ist irgendeine reelle Zahl vor dem X.
[00:14:45 -> 00:14:48]  Und auch hier in diesem Fall haben wir wieder zwei Fälle.
[00:14:49 -> 00:14:57]  Okay, ich weiß, eigentlich gibt es drei, aber den dritten Fall, den werdet ihr in der Schule eigentlich so gut wie nie oder gar nicht werdet ihr den bekommen.
[00:14:57 -> 00:15:02]  Wenn ihr den dritten Fall in der Schule doch bekommen solltet, dann ist euer Lehrer wirklich ein Hund, sage ich ganz ehrlich.
[00:15:02 -> 00:15:08]  So, wir nehmen jetzt mal hier unseren ersten Fall und stellen uns einfach vor, wir haben eine Zahl, die kleiner Null ist.
[00:15:08 -> 00:15:16]  Dann nehmen wir hier ein Beispiel, F von X gleich E hoch minus 3,4X.
[00:15:16 -> 00:15:22]  Das erste, was ihr machen solltet, wenn ihr das so vor euch habt in der Schule, sagen wir jetzt mal hier so eine E-Funktion mit irgendwas oben beim Exponenten,
[00:15:22 -> 00:15:27]  kreist euch am besten einfach dann die Zahl, die vor dem X steht, so ein,
[00:15:27 -> 00:15:33]  damit ihr halt eben nochmal für euch klar gemacht habt, dass ihr jetzt wirklich in dem Fall seid, wo die Zahl halt kleiner Null ist.
[00:15:33 -> 00:15:34]  Jetzt gehen wir mal zu unserem zweiten Fall.
[00:15:34 -> 00:15:38]  Hier haben wir nämlich folgendes, Zahl größer Null.
[00:15:38 -> 00:15:43]  Und jetzt nehmen wir mal auch wieder ein Beispiel, E hoch 2,7X.
[00:15:43 -> 00:15:44]  Was macht ihr hier wieder?
[00:15:44 -> 00:15:49]  Ihr kreist euch die Zahl vor dem X am besten ein, um zu wissen, in welchem Fall ihr euch gerade befindet.
[00:15:49 -> 00:15:56]  So, und am besten macht ihr das nochmal auf dem Schulblatt so, dass ihr euch genau aufschreibt, wie gesagt, was jetzt die Zahl da ist, die ihr vor euch habt.
[00:15:56 -> 00:16:00]  Hier haben wir halt den Fall, dass es kleiner Null ist, hier haben wir halt den Fall, dass es größer Null ist.
[00:16:00 -> 00:16:02]  Einfach so könnt ihr das dann besser einordnen.
[00:16:02 -> 00:16:08]  Ich habe auf jeden Fall als erstes wieder unsere Wertetabelle hier aufgezeichnet und habe beliebige Werte eingesetzt, auf die ich auch Bock hatte gerade.
[00:16:08 -> 00:16:16]  So, ich habe jetzt zum Beispiel für das erste einfach mal den Wert Minus 2 eingesetzt für X und habe dann folgendes erhalten, 897,85.
[00:16:16 -> 00:16:20]  So, und das habe ich dann versucht, hier in einem Koordinatensystem zu veranschaulichen.
