[00:00:00 -> 00:00:01]  Mathe
[00:01:34 -> 00:01:37]  Sowas hier, x² gleich 16.
[00:01:37 -> 00:01:41]  Klar sieht ja jeder einfach die Wurzel ziehen, auf beiden Seiten eben, um das x² weg zu
[00:01:41 -> 00:01:42]  bekommen.
[00:01:42 -> 00:01:44]  Und dann kommt man direkt auf die Lösung 4.
[00:01:44 -> 00:01:47]  Und zack schon habt ihr es vergessen.
[00:01:47 -> 00:01:49]  Minus 4 hoch 2 gibt auch 16.
[00:01:49 -> 00:01:53]  Die Lösung wäre also 4 oder Minus 4.
[00:01:53 -> 00:01:57]  Die quadratische Gleichung hat dann also 2 Lösungen.
[00:01:57 -> 00:02:01]  Und das gibt es fast immer, wenn ihr irgendwo während dem Gleichungslösung eine Wurzel
[00:02:01 -> 00:02:02]  zieht.
[00:02:02 -> 00:02:05]  Unbedingt immer dran denken, das sind sonst verschenkte Punkte in der Klausur.
[00:02:05 -> 00:02:08]  So, was darf ich jetzt alles mit den Wurzeln machen?
[00:02:08 -> 00:02:09]  3.
[00:02:09 -> 00:02:11]  Man darf Wurzeln einfach mal nehmen.
[00:02:11 -> 00:02:20]  Also wenn ihr zum Beispiel Wurzel 16 mal Wurzel 9 nehmen wollt.
[00:02:20 -> 00:02:23]  Das ist ja das gleiche wie 4 mal 3, also 12.
[00:02:23 -> 00:02:27]  Nimmt man das unter der Wurzel vorher malen, gibt es 144.
[00:02:27 -> 00:02:30]  Und davon die Wurzel ist auch 12.
[00:02:30 -> 00:02:34]  Heißt also, ob ich erst die Wurzel ziehe und dann mal nehmen oder erst mal nehmen und
[00:02:34 -> 00:02:35]  dann die Wurzel ziehe, ist egal.
[00:02:35 -> 00:02:36]  4.
[00:02:36 -> 00:02:39]  Man darf Wurzeln auch einfach teilen.
[00:02:39 -> 00:02:46]  Wenn ihr Wurzel 16 durch Wurzel 4 teilen wollt, dann ist das ja das gleiche wie 4 durch 2,
[00:02:46 -> 00:02:47]  das ist 2.
[00:02:47 -> 00:02:51]  Wenn ihr das zuerst unter der Wurzel teilt, kommt Wurzel 4 raus, die Wurzel davon ist
[00:02:51 -> 00:02:52]  auch 2.
[00:02:52 -> 00:02:55]  Also ist auch egal, ob ich erst die Wurzel ziehe oder erst teile.
[00:02:55 -> 00:02:57]  Sehr geil, das ist ja leicht bisher.
[00:02:57 -> 00:02:59]  Geil, klasse, darf man auch ganz einfach Plus rechnen?
[00:02:59 -> 00:03:01]  Äh, nein.
[00:03:01 -> 00:03:03]  Also merken, 5.
[00:03:03 -> 00:03:06]  Man darf Wurzeln aber nicht einfach Plus rechnen.
[00:03:06 -> 00:03:11]  Ein ganz einfaches Gegenbeispiel, rechnen wir doch mal Wurzel 9 plus Wurzel 16.
[00:03:11 -> 00:03:14]  Das gibt 3 plus 4, also 7.
[00:03:14 -> 00:03:17]  Wenn wir aber erst 9 plus 16 rechnen, kommt 25 raus.
[00:03:17 -> 00:03:21]  Daraus die Wurzel ist 5, also was anderes wie oben.
[00:03:21 -> 00:03:22]  Kacke.
[00:03:22 -> 00:03:23]  Wir dürfen das also nicht so machen.
[00:03:23 -> 00:03:27]  Wir müssen also immer zuerst die Wurzeln ziehen, bevor wir Plus rechnen.
[00:03:27 -> 00:03:29]  Darf man sie wenigstens Minus rechnen?
[00:03:29 -> 00:03:30]  Nein, nein.
[00:03:30 -> 00:03:31]  Scheiße.
[00:03:31 -> 00:03:32]  Also, 6.
[00:03:32 -> 00:03:35]  Man darf Wurzeln auch nicht einfach voneinander abziehen.
[00:03:35 -> 00:03:38]  Das ist genau das gleiche wie bei Plus.
[00:03:38 -> 00:03:41]  Probiert's einfach aus, ihr werdet merken, dass das Ergebnis falsch ist.
[00:03:41 -> 00:03:43]  Also merkt euch unbedingt diese 6 Punkte.
[00:03:43 -> 00:03:46]  Vor allem, dass ihr nicht einfach Wurzeln miteinander Plus rechnen dürft.
[00:03:46 -> 00:03:48]  Habt ihr auch noch Probleme mit diesen Dingern?
[00:03:48 -> 00:03:51]  Dann zieht euch rechts unser Bruchrechnen Video rein.
[00:03:51 -> 00:03:54]  Einfach klicken oder den Link in der Videobeschreibung aufrufen.
