[00:00:00 -> 00:00:03]  Hallo und herzlich willkommen zurück auf meinem Kanal Judith Jellenaer.
[00:01:46 -> 00:01:56]  Ich steche jetzt von hinten von meinem Stoff hier unten ein und komme dann hier wieder raus, ziehe den nach vorne
[00:01:56 -> 00:02:04]  und lasse dann einen Abstand von ungefähr 0,7 cm und steche dann von vorne nach hinten wieder durch.
[00:02:07 -> 00:02:14]  Bevor ich den ganz durchziehe, komme ich dann hier ungefähr in der Mitte wieder raus, von hinten nach vorne
[00:02:14 -> 00:02:21]  und ziehe mir das dann wieder durch. Dann lasse ich wieder ein bisschen Abstand, steche wieder hier ein
[00:02:21 -> 00:02:31]  und bevor ich mir den dann wieder ganz festziehe, komme ich jetzt hier bei dem Ende meines letzten Stichs wieder raus.
[00:02:31 -> 00:02:37]  Und das wiederhole ich jetzt einfach bis zum Ende meines Stiels, heißt ich lasse hier immer ein bisschen Abstand.
[00:02:37 -> 00:02:46]  Bevor ich es ganz durchziehe, komme ich dann wieder hier bei meinem letzten Stich raus und dann ziehe ich das wieder fest,
[00:02:46 -> 00:02:50]  lasse wieder ein bisschen Abstand und wiederhole das.
[00:02:54 -> 00:02:58]  Es folgt der sogenannte Schlingenstich, den habe ich hier für die Blüten verwendet.
[00:02:58 -> 00:03:03]  Wenn ihr da einfach auch ein paar verschiedene Farben nehmt, dann wirkt das Ganze direkt ein bisschen plastischer.
[00:03:03 -> 00:03:13]  Und wie der geht, das zeige ich euch jetzt. Ich habe mir jetzt die nächste Farbe geschnappt und komme jetzt hier nach meinem Stiel wieder raus,
[00:03:13 -> 00:03:23]  ziehe mir das ganz durch und steche wirklich ganz knapp neben der Einstichstelle oder der Ausstichstelle besser gesagt wieder ein.
[00:03:23 -> 00:03:33]  Und wie der Name schon verrät, lasse ich mir jetzt hier so eine kleine Schlinge, die ziehe ich mir hier so ein bisschen nach oben
[00:03:33 -> 00:03:41]  und dann komme ich an der obersten Stelle, wo ich möchte, dass die Blüte endet, mit meiner Nadel wieder raus und dann kann ich das festziehen.
[00:03:41 -> 00:03:49]  Und ihr seht schon, hier bildet sich jetzt so eine Schlinge und um die zu befestigen, stechen wir dann kurz darüber nochmal ein.
[00:03:50 -> 00:04:03]  Und somit ist die jetzt fest. Und das wiederhole ich heißt, ich komme hier wieder ganz nah am Stiel raus und steche ganz knapp daneben wieder ein
[00:04:05 -> 00:04:13]  und lasse mir dann hier wieder so eine Schlinge liegen und komme dann hier an der oberen Stelle der Blüte wieder raus, ziehe das fest
[00:04:13 -> 00:04:18]  und um den zu befestigen, steche ich dann hier knapp darüber wieder ein.
[00:04:19 -> 00:04:30]  Musik
[00:04:34 -> 00:04:42]  Der dritte Stich ist der sogenannte Rückstich, den seht ihr hier zum Beispiel oder auch hier bei meinem Schäfchen sind die Beine da mit gemacht.
[00:04:42 -> 00:04:45]  Der eignet sich besonders gut für klare Linien.
[00:04:46 -> 00:04:55]  Dafür komme ich jetzt wieder hier unten an meinem Stielende von hinten nach vorne raus, steche dann hier ein paar Millimeter oben drüber wieder ein.
[00:04:55 -> 00:04:58]  Also es kommt ganz drauf an, wie weit ihr den haben wollt.
[00:04:58 -> 00:05:06]  Dann könnt ihr auch direkt durchziehen und dann versucht ihr in dem selben Abstand, den ihr gerade gemacht habt, ungefähr hier oben wieder einzustechen
[00:05:07 -> 00:05:11]  und dann kommt ihr bei dem Ende des letzten Stiches wieder zurück.
[00:05:11 -> 00:05:19]  Also heißt, ihr lasst hier jetzt immer so ein Stückchen Abstand und stickt dann zurück.
[00:05:19 -> 00:05:21]  Daher kommt auch der Name Rückstich.
[00:05:28 -> 00:05:32]  Als nächstes folgt der sogenannte Plattstich und den seht ihr zum Beispiel hier.
[00:05:32 -> 00:05:35]  Der eignet sich ganz toll, um Flächen auszufüllen.
[00:05:35 -> 00:05:42]  Dafür kommen wir jetzt hier, also hier ist ja unsere erste Blüte und da kommen wir dann hier ungefähr in der Mitte von hinten raus.
[00:05:42 -> 00:05:49]  Also ungefähr hier und kommen dann hier an die oberste Stelle der Blüte.
[00:05:51 -> 00:06:02]  Und dann lassen wir so ein bisschen Platz, also heißt, ich steche dann jetzt von hier, also knapp daneben ein und suche mir dann diese Stelle.
[00:06:03 -> 00:06:14]  Also einfach so ein bisschen versetzt alles und dann machen wir noch hier das letzte, also heißt hier auf der linken Seite noch das kleine Stückchen hier.
[00:06:17 -> 00:06:19]  Und das gleiche mache ich dann auf der anderen Seite.
[00:06:19 -> 00:06:26]  Also man kann sich vorstellen, dass man das so ein bisschen als Gitter anlegt sozusagen, wo man dann gleich langstechen soll.
[00:06:27 -> 00:06:31]  Und noch ein kleines hier an der Seite.
[00:06:33 -> 00:06:36]  Und jetzt kann ich diese Zwischenräume, die ich noch habe, ausfüllen.
[00:06:36 -> 00:06:43]  Also heißt, ich steche immer von oben, also von unten meine ich natürlich von unten, also von dem Blütenende hier nach oben.
[00:06:44 -> 00:06:47]  Und jetzt male ich den Rest sozusagen einfach nur noch aus.
[00:06:48 -> 00:06:53]  Und das ist der sogenannte Plattstich und mit dem malt man dann einfach wirklich Flächen aus.
[00:06:57 -> 00:07:07]  Es folgt der sogenannte Knötchenstich, den habe ich hier zum Beispiel bei meinem süßen Schäfchen verwendet oder dann auch hier für die Mitte der Blütenblätter.
[00:07:07 -> 00:07:10]  Und wie der geht, das zeige ich euch jetzt.
[00:07:10 -> 00:07:21]  Wir starten wie immer von hinten nach vorne, ziehen uns das durch und dieses Mal wickeln wir den Faden zweimal um die Nadel.
[00:07:21 -> 00:07:33]  Also wir machen hier so zwei Umschläge um die Nadel und dann stechen wir kurz neben der Einstichstelle wieder rein und halten uns diese Umschläge hier fest und ziehen das durch.
[00:07:33 -> 00:07:37]  Und da müsst ihr darauf achten, dass ihr nicht zu fest zieht, weil sonst zieht ihr den ein.
[00:07:37 -> 00:07:41]  Und das ist unser erster Knötchenstich und den wiederhole ich jetzt nochmal.
[00:07:42 -> 00:08:00]  Also ich komme wieder von hinten nach vorne, ziehe das durch und lege mir zwei Umschläge um die Nadel und steche dann kurz daneben wieder ein und halte mir diese Umschläge hier wieder gut fest und ziehe das dann hier wieder durch.
[00:08:00 -> 00:08:04]  Darauf achten, dass ihr nicht zu fest zieht, weil sonst zieht ihr die ganz durch.
[00:08:04 -> 00:08:08]  Und das wiederhole ich jetzt einfach bis das Mittelfeld hier ausgefüllt ist.
[00:08:08 -> 00:08:15]  Heißt ich komme wieder von hinten nach vorne raus und lege mir zwei Umschläge um die Nadel.
[00:08:16 -> 00:08:25]  Es folgt der Grätenstich und der Grätenstich eignet sich wunderbar, um solche Blätter zu machen, da das eine sehr, sehr schöne Struktur hier bildet.
[00:08:25 -> 00:08:30]  Dafür steche ich jetzt hier an der obersten Stelle des Blatts ein.
[00:08:30 -> 00:08:32]  Und dann starten wir jetzt mit den Gräten.
[00:08:32 -> 00:08:38]  Also ich komme jetzt hier ein bisschen weiter unten wieder mit der Nadel.
[00:08:38 -> 00:08:42]  Und dann steche ich hier an der obersten Stelle des Blatts ein.
[00:08:42 -> 00:08:45]  Und dann steche ich hier an der obersten Stelle des Blatts ein.
[00:08:45 -> 00:08:51]  Und komme dann hier so ein kleines Stückchen weiter unten in der Mitte wieder raus.
[00:08:51 -> 00:08:54]  Und dann starten wir jetzt mit den Gräten.
[00:08:54 -> 00:09:03]  Also ich komme jetzt hier ein bisschen weiter unten wieder bei meinem Blatt raus.
[00:09:03 -> 00:09:05]  Und gehe mal so ein kleines bisschen über die Mitte.
[00:09:05 -> 00:09:10]  Also heißt so links neben meiner Mitte komme ich wieder raus.
[00:09:10 -> 00:09:13]  Und dann gehe ich auf die andere Seite.
[00:09:13 -> 00:09:17]  Komme hier von hinten nach vorne wieder raus.
[00:09:17 -> 00:09:20]  Und komme dann hier ein bisschen weiter rechts raus.
[00:09:20 -> 00:09:24]  Also heißt man überlappt hier immer so ein bisschen diese Stiche.
[00:09:24 -> 00:09:28]  Damit man eben dieses Grätenmuster dann bekommt.
[00:09:30 -> 00:09:35]  Dann komme ich jetzt hier wieder auf der rechten Seite raus.
[00:09:36 -> 00:09:42]  Und gehe hier wieder über die Mitte drüber, über diesen Faden davor auf der linken Seite.
[00:09:46 -> 00:09:49]  Dann mache ich dasselbe wieder von links.
[00:09:51 -> 00:09:56]  Und überlapp das wieder so ein bisschen und komme hier wieder ein bisschen weiter rechts als der Mitte raus.
[00:09:57 -> 00:10:01]  Und das mache ich jetzt wieder auf der anderen Seite.
[00:10:04 -> 00:10:07]  Und komme hier wieder ein bisschen weiter links von der Mitte raus.
[00:10:07 -> 00:10:12]  Also wie gesagt, man überlappt hier einfach immer so ein bisschen die Stiche.
[00:10:12 -> 00:10:17]  Und damit bildet sich dann dieses sogenannte Grätenmuster bzw. der Grätenstich.
[00:10:17 -> 00:10:21]  Jetzt habe ich ein bisschen zu weit unten eingestochen, aber das ist nicht so wild.
[00:10:21 -> 00:10:24]  Und dann komme ich wieder auf der anderen Seite raus.
[00:10:26 -> 00:10:29]  Und überlappe dann wieder hier ein bisschen nach links.
[00:10:47 -> 00:10:50]  Und dann komme ich wieder auf der anderen Seite raus.
[00:10:50 -> 00:10:54]  Als letztes zeige ich euch nun noch, wie ihr eine Webrose machen könnt.
[00:10:54 -> 00:10:56]  Das ist zum Beispiel die hier oder die hier.
[00:10:56 -> 00:11:00]  Die sind sehr, sehr süß und gehen tatsächlich auch ganz einfach.
[00:11:00 -> 00:11:02]  Ich hoffe, euch hat das Video gefallen.
[00:11:02 -> 00:11:04]  Wenn ja, dann lasst mir einen Daumen nach oben da.
[00:11:04 -> 00:11:06]  Und dann sehen wir uns beim nächsten Mal wieder.
[00:11:06 -> 00:11:08]  Tschüss!
[00:11:20 -> 00:11:24]  Dafür habe ich mir jetzt hier erstmal so einen Kreis aufgemalt mit fünf Strichen drin.
[00:11:24 -> 00:11:26]  Ihr könnt auch mehr machen.
[00:11:26 -> 00:11:28]  Das Wichtige ist nur, dass es eine ungerade Zahl ist.
[00:11:28 -> 00:11:31]  Also zum Beispiel 3, 5 und 7.
[00:11:31 -> 00:11:36]  Dann stecht ihr hier jetzt einmal in der Mitte von hinten nach vorne durch.
[00:11:38 -> 00:11:43]  Und macht dann erstmal dieses Kreuz, also dieses fünffädige Kreuz sozusagen.
[00:11:43 -> 00:11:45]  Stecht ihr nach.
[00:11:45 -> 00:11:47]  Dann stecht ihr wieder in der Mitte raus.
[00:11:47 -> 00:11:49]  Und den zweiten Arm.
[00:11:57 -> 00:11:59]  Also wo ihr rauskommt, ist im Prinzip egal.
[00:11:59 -> 00:12:01]  Ihr könnt von oben oder von unten.
[00:12:01 -> 00:12:05]  Das Wichtige ist einfach nur, dass ihr dieses Kreuz...
[00:12:05 -> 00:12:07]  Ich weiß nicht, wie nennt man das?
[00:12:07 -> 00:12:09]  Kreuz? Rad.
[00:12:09 -> 00:12:11]  Wie man dieses Rad nachstecht, stimmt.
[00:12:11 -> 00:12:13]  Sieht aus wie ein Rad.
[00:12:13 -> 00:12:17]  Dann stecht ihr ganz knapp daneben raus.
[00:12:17 -> 00:12:19]  Also hier ungefähr knapp neben der Mitte.
[00:12:19 -> 00:12:25]  Und jetzt werden wir, wie der Name es auch schon verrät, einfach nur weben.
[00:12:25 -> 00:12:27]  Und zwar gehe ich jetzt bei dem ersten drüber.
[00:12:27 -> 00:12:29]  Und dann bei dem zweiten drunter.
[00:12:29 -> 00:12:32]  Und dann hier wieder drüber.
[00:12:32 -> 00:12:34]  Und hier wieder drunter.
[00:12:34 -> 00:12:36]  Und da wieder drüber.
[00:12:36 -> 00:12:38]  Und hier wieder drunter.
[00:12:38 -> 00:12:42]  Das heißt, wir weben jetzt uns das Rad entlang.
[00:12:47 -> 00:12:52]  Und deswegen ist es auch so wichtig, dass ihr eine ungerade Zahl habt,
[00:12:52 -> 00:12:55]  damit ihr dann immer wieder woanders rauskommt.
[00:12:55 -> 00:12:58]  Also wenn ihr bei der vorigen Runde jetzt drunter wart,
[00:12:58 -> 00:13:00]  dann seid ihr bei der nächsten drüber.
[00:13:00 -> 00:13:02]  Und dadurch ergibt sich dann eben dieses Webmuster.
[00:13:08 -> 00:13:30]  Wenn ihr dann zufrieden mit eurer Rose seid,
[00:13:30 -> 00:13:34]  dann könnt ihr einfach hier irgendwo nach hinten einstechen.
[00:13:34 -> 00:13:36]  Das wieder festziehen.
[00:13:36 -> 00:13:39]  Und hinten vernähen.
[00:13:39 -> 00:13:43]  Ihr seht schon, hier sieht man jetzt bei manchen Stellen noch diesen Stift,
[00:13:43 -> 00:13:45]  den ich vorher vorgemalt hatte.
[00:13:45 -> 00:13:48]  Das ist aber kein Problem, das ist wie gesagt ein Trickmarker.
[00:13:48 -> 00:13:51]  Der verschwindet dann von ganz allein, also wie von Zauberhand sozusagen,
[00:13:51 -> 00:13:53]  nach ein paar Tagen.
[00:13:53 -> 00:13:56]  Und ansonsten habe ich noch folgenden Tipp für euch.
[00:13:56 -> 00:13:59]  Wenn ihr einen Stoff nehmt, dann schaut, dass das ein stabiler Stoff ist,
[00:13:59 -> 00:14:01]  der keinen hohen Stretch-Anteil hat.
[00:14:01 -> 00:14:05]  Weil bei Stretch-Anteil kann es leicht passieren, dass ihr Löcher reinstecht.
[00:14:05 -> 00:14:08]  Ihr seht, Sticken ist wirklich alles andere als altmodisch.
[00:14:08 -> 00:14:11]  Vielleicht konnte ich euch ja zu einem neuen Hobby inspirieren.
[00:14:11 -> 00:14:14]  Wenn das der Fall ist, dann freue ich mich sehr über einen Daumen nach oben,
[00:14:14 -> 00:14:16]  wenn ihr meinen Kanal abonniert.
[00:14:16 -> 00:14:18]  Und dann sehen wir uns schon beim nächsten Mal wieder.
[00:14:31 -> 00:14:34]  Untertitel der Amara.org-Community
