[00:00:00 -> 00:00:02]  Welcome to very jolly
[00:06:22 -> 00:06:24]  Está frío
[00:06:24 -> 00:06:26]  It's windy
[00:06:26 -> 00:06:28]  It's cold
[00:06:28 -> 00:06:30]  It's stormy
[00:06:35 -> 00:06:37]  It's cold
[00:06:37 -> 00:06:39]  Question eleven
[00:06:39 -> 00:06:41]  Está brumoso
[00:06:41 -> 00:06:43]  It's foggy
[00:06:43 -> 00:06:45]  It's freezing
[00:06:45 -> 00:06:47]  It's cold
[00:06:50 -> 00:06:52]  It's cold
[00:06:52 -> 00:06:54]  It's foggy
[00:06:54 -> 00:06:56]  Congratulations!
[00:06:58 -> 00:07:00]  Thanks for watching
[00:07:02 -> 00:07:04]  Don't forget to like and subscribe
