[00:00:00 -> 00:00:05]  I've led six botany and foraging intensives, each one in a different place in a different season.
[00:02:17 -> 00:02:19]  peaches, a vineyard, even has some
[00:02:20 -> 00:02:23]  figs and pawpaws growing in Idaho.
[00:02:24 -> 00:02:27]  Everything is straight up and straight down in the Snake River country,
[00:02:27 -> 00:02:34]  so we bounced back and forth between the hot bottomlands versus the cooler mountain country of the Snake.
[00:02:35 -> 00:02:40]  Wherever we went, there was always something new to identify and something exciting and new to forage.
[00:02:40 -> 00:02:48]  At one point, we even ran into a geology class and ultimately traded a botany lesson for a geology lesson.
[00:02:48 -> 00:02:55]  We cooked lots of pies on the road, and at some point Susie picked up a roadkill bunny and cooked that too.
[00:02:55 -> 00:03:00]  A big part of the class was harvesting as much wild and feral fruit as we could find along the way.
[00:03:00 -> 00:03:04]  Kyle slept by the drying apricots to ward off any bears.
[00:03:06 -> 00:03:13]  The apricots are so wild they get dispersed by bears. This is a some bear scat I found, and it's also a musical instrument.
[00:03:13 -> 00:03:37]  After harvesting and drying an abundance of feral fruits, we ultimately migrated back to the mountains where we went on a little wilderness survival trek and we feasted on wild currants and gooseberries and huckleberries and some beautiful yampa roots.
[00:03:38 -> 00:03:43]  More than just a class, we grew together as a tribe and built memories that we will never forget.
[00:03:49 -> 00:03:57]  For our second botany and foraging intensive, we returned to eastern Washington and partnered with Kyle Chamberlain again,
[00:03:58 -> 00:04:05]  this time to really focus on the spring root crops of the scablands of eastern Washington.
[00:04:06 -> 00:04:29]  So in addition to our daily botanizing, focusing on plant identification, we really emphasized the harvesting of root crops, especially the big biscuit roots that thrive in the thin rocky soils that were created as a result of the Ice Age floods from Glacial Lake Missoula from 13 to 15,000 years ago.
[00:04:30 -> 00:04:39]  Starchy root crops can be hard to come by in the wilderness, but here they are crazy abundant and can be harvested sustainably.
[00:04:40 -> 00:04:54]  So in addition to the biscuit roots, we harvested some waterleaf, some yellowbell, some spring beauties, wild onions, yampa, all kinds of starchy spring roots.
[00:04:54 -> 00:05:05]  More than anything, it was a thrill to be out celebrating the first flowers of spring, especially when it is still winter back in Montana, where I call home.
[00:05:06 -> 00:05:15]  We put our plant identification skills to the test and enjoyed experimenting and cooking up wild starchy roots in every way that we could think to do it.
[00:05:16 -> 00:05:23]  Spring unfolded before our very eyes as we went on numerous day hikes to get out and see what was popping.
[00:05:24 -> 00:05:33]  Spending extended time in the field like this is a great way to develop proficiency with botany in a day and recognizing plant family patterns.
[00:05:33 -> 00:05:42]  We even brought the canoes along to play with outside of class time. The experience also included a little impromptu flint knapping session.
[00:05:42 -> 00:06:00]  Our third botany and foraging intensive started right here at my house in Pony, Montana. We spent the first few days in and around this area and then migrated eastward from here as we solidified the two week structure for the class.
[00:06:00 -> 00:06:12]  Plant identification and foraging remains core to the class, of course, but we also did tours like touring Sage Mountain Center to see their buildings and gardens and practice keying out flowers there.
[00:06:13 -> 00:06:17]  We also toured a local greenhouse as like an indoor tropical paradise.
[00:06:18 -> 00:06:26]  And there always seems to be some meat component to the class, in this case, butchering a roadkill deer as instructed by the instructor.
[00:06:26 -> 00:06:44]  In my book, Foraging the Mountain West, perfectly legal here in Montana and most of the western states, we harvested an abundance of gooseberries and Saskatoon's and did a tour of paradise permaculture in Livingston, Montana, as we worked our way eastward across the state.
[00:06:44 -> 00:07:02]  We parked ourselves at Itch Capay Park in Columbus, Montana, for a few days to really process our Saskatoon's to make those into berry cakes and to dry those in the sun and on our day off from class, we decided to paddle the river for entertainment.
[00:07:02 -> 00:07:10]  We also spent a day keying out flowers in the gardens at Zoo, Montana, which was actually the first time I'd ever been there.
[00:07:10 -> 00:07:17]  That's one of the fun things about the class is traveling and exploring and visiting places that we might not see otherwise.
[00:07:17 -> 00:07:34]  These first three botany and foraging intensives were all very small classes, mostly due to a lack of marketing on my part that I'm always depending on word of mouth for people to learn about the class and find their way to it.
[00:07:34 -> 00:07:43]  We made a little bit of applesauce with apples we picked outside the zoo, also found some chuck cherries and some beautiful black currants.
[00:07:43 -> 00:07:51]  South Central Montana is home to a little pocket of Utah-like landscape and even some Utah juniper plus some pygmy rabbits.
[00:07:51 -> 00:07:59]  Plant identification is fun wherever we go, and there's always an aspect of wildlife observation as well.
[00:07:59 -> 00:08:10]  We got caught out in a beautiful hailstorm one day, and another time we went out dumpster diving and came back with the motherlode of delicious strawberries all free.
[00:08:10 -> 00:08:21]  For our first botany and foraging intensive in Colorado, I partnered with Brianna Wiles and Kat McKinnon, and this was our first really big class.
[00:08:21 -> 00:08:29]  Thanks especially to Brianna's marketing that we had 20 students, which was 19 women and 10 men.
[00:08:30 -> 00:08:42]  The women having signed up through Brianna and the guy having signed up through me, but we had a great big class and just really a fun tribe of people for this two-week adventure together.
[00:08:42 -> 00:08:51]  This class featured a heavy emphasis on primitive skills as the students learned how to use their hands and how to use their hands to do things that they weren't able to do in the classroom.
[00:08:51 -> 00:09:08]  But really, plant identification is what it's all about, and we really emphasize practice, practice, practice at keying out the flowers and getting to know those plant family patterns.
[00:09:08 -> 00:09:20]  But really, plant identification is what it's all about, and we really emphasize practice, practice, practice at keying out the flowers and getting to know those plant family patterns.
[00:09:20 -> 00:09:27]  This class also included a heavy emphasis on herbalism, led by Brianna and Kat.
[00:09:27 -> 00:09:45]  We enjoyed three different campsites over the course of the two-week class, one on private land and two with permits on the National Forest, which really gave us a good cross-section of different habitats across western Colorado.
[00:09:45 -> 00:09:51]  We called this really the kitchen sink of classes. Students were staying up finishing their projects by headlamp.
[00:09:51 -> 00:09:59]  We had just thrown so many different types of things into this one program, but hey, it was a lot of fun.
[00:09:59 -> 00:10:09]  Although people really sign up for either the plant identification or the herbalism or the foraging, it's actually, I think, the tribal component of it.
[00:10:09 -> 00:10:27]  Being together with like-minded folks, doing these potluck dinners together, just kind of living as a tribe that is so meaningful in this day and age that is really perhaps the most powerful part of the two-week botany and forage intensive.
[00:10:27 -> 00:10:33]  Students build relationships with each other that last far beyond the class itself.
[00:10:34 -> 00:10:46]  For our fifth botany and foraging intensive, we started at my home here in Pony, Montana again, but this time we ultimately traveled northwest across the state,
[00:10:46 -> 00:10:58]  which included a stop for a tour at Sage Mountain Center to check out the alternative buildings there and the gardens and greenhouse, and of course to do a lot of keying out of plants there.
[00:10:58 -> 00:11:10]  We stayed at Lolo Hot Springs for a couple of days, and we were privileged to have Elaine Sheff from Greenpath Herbal School come in and teach herbalism.
[00:11:10 -> 00:11:24]  We spent a couple days in the Missoula area, and then on our travel day north, students had the option of visiting the Garden of One Thousand Buddhas as well as the National Bison Range.
[00:11:24 -> 00:11:36]  We camped out at Michael Billington's Permaculture Homestead near Polson, Montana, and we learned a lot about gardening and permaculture, some alternative construction,
[00:11:36 -> 00:11:46]  and really a lot about the wild seed harvesting, the business of harvesting and selling wild seeds.
[00:11:46 -> 00:11:58]  In addition to daily plant identification practice, we also did some really interesting garden tours here with mulch, both rock mulch and purslane as a living mulch in the garden.
[00:11:58 -> 00:12:02]  We also toured alternative buildings at Wheaton Labs.
[00:12:02 -> 00:12:14]  Our final stop of the two-week botany and foraging intensive was actually in Idaho, and we followed a scenic dirt road through the mountains to get there,
[00:12:14 -> 00:12:26]  which was just incredibly beautiful, except we were ultimately thwarted by a landslide on the road and had to turn around and go all the way back, consuming an entire day in the process.
[00:12:26 -> 00:12:42]  Keep in mind that we had 20 students and 20 vehicles in our caravan, but we did eventually make it to Idaho, where we visited Darcy Williamson and learned more about herbalism and greenhouses and a whole lot more.
[00:12:43 -> 00:13:01]  Class officially ended there, but some of us afterwards went on a side tour up into the mountains and then into Hells Canyon to gather some wild fruits, both for drying and for canning, to stock the cellar to get through the winter.
[00:13:01 -> 00:13:07]  We feasted on apricots, plums, blackberries, and mulberries.
[00:13:07 -> 00:13:19]  For our sixth botany and foraging intensive, we returned once again to Colorado, this time partnering first of all with wild food girl Erica Davis,
[00:13:19 -> 00:13:29]  and we camped at the Bristlecone View Ranch at 10,000 feet in elevation near Fair Play, Colorado.
[00:13:29 -> 00:13:37]  One of our many foraging skills was to make our own mustard with wild mustard seed.
[00:13:37 -> 00:13:45]  From there, we migrated south into the San Luis Valley, where we partnered with survival skills expert Robin Blankenship,
[00:13:45 -> 00:13:57]  who right away took us out on a surprise event to skin a bison on a bison ranch and to tour the amazing buildings there.
[00:13:57 -> 00:14:09]  For our day off, half the crew decided to tour Great Sand Dunes National Park, where we had a good time climbing these mammoth sand dunes,
[00:14:09 -> 00:14:13]  and cooled off in the creek after a hot climb in the sun.
[00:14:13 -> 00:14:22]  We also stopped at Colorado Gators Reptile Park and even bought a bunch of live tilapia that we brought back to camp for dinner.
[00:14:22 -> 00:14:30]  We toured Robin Blankenship's straw bale home and homestead and thoroughly botanized the area.
[00:14:30 -> 00:14:39]  Robin taught a friction fire class, emphasizing skills that optimize the procedure for women.
[00:14:39 -> 00:14:49]  For me, one of the great highlights of the class was touring Nick Chambers' biogas plant, where he converted his septic tank to produce fuel for cooking.
[00:14:49 -> 00:14:56]  We spent a whole week with Robin Blankenship at Earthnac School and did numerous field trips out from there.
[00:14:56 -> 00:15:06]  Our final campsite was back at the Kevin Off Bison Ranch, where we enjoyed his whimsical architecture and found lots of great plants for plant identification practice.
[00:15:06 -> 00:15:20]  We did a day trip out to Soul Mountain Farm, where we toured their greenhouses, got to learn about worm composting, saw their hog operation,
[00:15:20 -> 00:15:26]  and got some hands-on experience making comfrey tea for fertilizer.
[00:15:26 -> 00:15:33]  We enjoyed a final day in the mountains, polishing our plant identification skills.
[00:15:34 -> 00:15:39]  The Botany and Foraging Intensive is a new adventure every year.
[00:15:39 -> 00:15:46]  As we travel to new places and work with new instructors, it's always a great opportunity to hone your skills.
[00:15:46 -> 00:15:51]  Come join us this year for the next Botany and Foraging Intensive.
