[00:00:00 -> 00:00:09]  Hi und herzlich willkommen bei Lehrer Schmidt. Ich bin in der letzten Woche bei den Wunschvideos
[00:07:55 -> 00:08:08]  dieses brauchen wir nicht, aber wir brauchen jetzt 4, 8 und 16. Rechnen wir nochmal nach. 16 plus 8 sind 24, plus 4 sind 28.
[00:08:08 -> 00:08:25]  Also ist als Dezimalzahl 28 ausgedrückt im Dualsystem 1 1 1 0 0 eben 28. Okay? Jetzt machen wir als nächstes Aufgaben, die gerne in
[00:08:25 -> 00:08:42]  Mathearbeiten drankommen. In der Mathearbeit gibt es ganz häufig diese Aufgaben hier, wie zum Beispiel, was nehmen wir mal? 0 1 0 0 0. Und da schreibt
[00:08:42 -> 00:08:50]  ihr dann eine 2 dran. Daran erkennst du, aha, das soll also eine Dualzahl oder eine Binärzahl sein. Und die sollst du jetzt
[00:08:50 -> 00:09:00]  umwandeln auf die Basis 10, also auf eine Dezimalzahl. So, und jetzt müssen wir wieder überlegen. Und was ich euch immer empfehlen würde, ist, wenn ihr das
[00:09:00 -> 00:09:14]  nicht so gut im Kopf habt, dann schreibt euch das eben kurz hin. Also, das hier wäre 2 hoch 0 und das wäre eben eine 1. Das hier wäre 2 hoch 1 und das wäre eine 2.
[00:09:15 -> 00:09:35]  Das hier wäre 2 hoch 2, also eine 4. 2 hoch 3, eine 8. 2 hoch 4, 16. Und jetzt ist es schon wieder ganz einfach. Das heißt also, keine 1, keine 2, keine 4, sondern nur die 8.
[00:09:35 -> 00:09:51]  Also ist 0 1 0 0 0 im Dualsystem das gleiche wie 8 im Dezimalsystem. Okay? Sonst noch mal kurz zurückspulen und euch die Liste angucken. Noch eine Aufgabe.
[00:09:52 -> 00:10:13]  0 0 0 1 0. Schreibt der Lehrer wieder die kleine 2 dran. Und der will von dir wissen, was bedeutet das im Dualsystem, ach, im Dezimalsystem. So, und da guckst du wieder. Aha, eine 2. Also eine 2.
[00:10:14 -> 00:10:28]  Und wenn ihr euch die kleinen Zahlen drüber schreibt, dann ist das eigentlich ganz einfach. So, jetzt machen wir es noch mal richtig kompliziert. Also, dieses Mal haben wir 1 1 1 1 im Dualsystem.
[00:10:28 -> 00:10:49]  Und jetzt müssen wir gucken. 1 plus 2 sind 3, plus 4 sind 7, plus 8 macht 15 im Dezimalsystem. Und eine letzte Aufgabe noch. 1 0 1 0 1. Die kommt so häufig dran, die Aufgabe.
[00:10:49 -> 00:11:12]  So, und wenn wir die umwandeln sollen, dann müssen wir gucken. Also, 1 steht für 1. Keine 2, also eine 4 macht zusammen schon mal 5. 1 und 4 sind 5. Keine 8, aber dafür eine 16. 16 und 4 sind 20, plus 1 sind 21. Also 21 im Dezimalsystem.
[00:11:13 -> 00:11:19]  So, und das Ganze funktioniert natürlich auch andersrum. Das schauen wir uns jetzt an.
[00:11:20 -> 00:11:38]  Dieses Mal sollst du die 11 im Dezimalsystem ins Dualsystem umwandeln. Und jetzt müssen wir überlegen, was brauchen wir. Also, wir brauchen. Tja, was nehmen wir denn am besten?
[00:11:38 -> 00:12:04]  Ich schlage vor, wir nehmen die 1, die 2 und die 8. Also, die 1, die 2, dann brauchen wir die 4 nicht, und die 8. Und das sind dann 11. Machen wir noch ein Beispiel. Die 7 im Dezimalsystem.
[00:12:05 -> 00:12:19]  Dann überlegen wir wieder kurz, aus was besteht die? Und die besteht aus der 1, der 2 und der 4. Also, aus 1, 1, 1 und meinetwegen noch eine 0 davor, aber im Dualsystem.
[00:12:19 -> 00:12:39]  Und wenn ihr das nicht so schnell im Kopf hinbekommt, ist das überhaupt kein Problem. Ihr schreibt euch dann einfach diese kleine Tabelle eben ins Heft. Und eine letzte Zahl noch. Wir nehmen mal die Zahl 28. Und die Zahl 28, da müssen wir jetzt kurz überlegen, wie kriegen wir die zusammen?
[00:12:40 -> 00:12:58]  16 plus 8 sind 24, plus 4 sind 28. Also wunderbar. Also 1, 1, 1. Und wir brauchen nicht die 2 und nicht die 1. Und das Ganze im Dualsystem. So, und jetzt sind wir fertig.
[00:12:59 -> 00:13:08]  Wir haben uns jetzt angeguckt, das Dual- oder Binärsystem. Ich habe euch gezeigt, wie das Ganze aufgebaut wird. Wir haben das mit dem Dezimalsystem verglichen und wir haben es in beide Richtungen umgewandelt.
[00:13:09 -> 00:13:15]  Wenn ihr das jetzt verstanden habt, dann kann euch in der nächsten Mathearbeit nichts passieren. Okay? Das war's.
