[00:00:00 -> 00:00:02]  You
[00:11:26 -> 00:11:33]  Stratigraphically, this is obviously higher. Yeah, and all of the metal things we've got these little tags from the detector that came out from up here
[00:11:34 -> 00:11:36]  were lead
[00:11:37 -> 00:11:41]  Further down in the secret zone there. Yeah, it was more anglo-saxon coinage
[00:11:41 -> 00:11:48]  Okay, so it really helps to prove to us that we've got later stuff up here and further down with the earlier stuff
[00:11:48 -> 00:11:50]  So we've got a nice build up of material
[00:11:51 -> 00:11:57]  That's brilliant and that then gives us confidence to maybe be a bit more robust as we start to take this area down
[00:11:58 -> 00:12:00]  Okay, that's it
[00:12:00 -> 00:12:06]  My area of the trench is a sort of the south part of the main trench, too
[00:12:07 -> 00:12:08]  The very first day
[00:12:08 -> 00:12:13]  We actually turned up three coins in one day and up until that point
[00:12:13 -> 00:12:19]  There's only been seven found I believe in the past four seasons. We did started just
[00:12:19 -> 00:12:24]  Sweeping the trench for the metal detector to come up with some targets which we labeled in the ground
[00:12:25 -> 00:12:29]  And I thought I don't know what they'll be. They might just be bits of lead or iron or something
[00:12:30 -> 00:12:33]  But you mark them in anyway, and when you come to excavate that layer
[00:12:33 -> 00:12:38]  We had venturers just cleaning back and I said, oh there's a target there. So let's just have a little
[00:12:39 -> 00:12:43]  Investigator in that so that we don't lose it. That was the point at which we started finding
[00:12:44 -> 00:12:45]  some lovely
[00:12:45 -> 00:12:47]  coins
[00:12:47 -> 00:12:52]  Early to mid 9th century, I believe something like 830 to 840 a.d
[00:12:53 -> 00:12:56]  Which is not too long after the viking raids
[00:12:56 -> 00:13:02]  So there is still a little time gap there, but it's only sort of 40 40 50 years roughly
[00:13:03 -> 00:13:05]  I
[00:13:06 -> 00:13:11]  Should just say the photogrammetry that we're using so it takes photographs stitches them together creates a model
[00:13:12 -> 00:13:16]  Basically, i'm going to imagine that the site here is gridded up
[00:13:16 -> 00:13:22]  And i'm going to walk up and down in straight lines and then move across up and down in straight lines
[00:13:22 -> 00:13:24]  walking one step forward
[00:13:24 -> 00:13:30]  Taking a photo move another step forward take a photo and keep on doing that
[00:13:30 -> 00:13:35]  I really like the use of digital technologies and the way that they've embraced that
[00:13:36 -> 00:13:40]  dig ventures i've always been given the opportunity to explore and
[00:13:41 -> 00:13:43]  find something that that works and
[00:13:45 -> 00:13:47]  Really can communicate what we're finding in the ground
[00:13:48 -> 00:13:55]  With a much wider audience if we can record something say in 3d on the ground then that can then be uploaded
[00:13:56 -> 00:14:01]  Put online and somebody the other side of the world can then see and enjoy that
[00:14:10 -> 00:14:14]  You'll have noticed the sun comes out and when it does I have a shadow
[00:14:15 -> 00:14:17]  And unfortunately that shadow moves
[00:14:17 -> 00:14:19]  with me
[00:14:19 -> 00:14:21]  Which means that when it's taking the images
[00:14:22 -> 00:14:28]  It's always got that there so that's moving the whole time, um, which is a bit frustrating
[00:14:35 -> 00:14:38]  We'll have a if we have a little break now, hopefully i'll be able to get this done
[00:14:39 -> 00:14:42]  At some point so I can stop standing here
[00:14:43 -> 00:14:44]  and then
[00:14:44 -> 00:14:46]  Then you can take photos
[00:14:47 -> 00:14:49]  And everyone can be refreshed
[00:14:50 -> 00:14:55]  Yeah, do you want to let people know thanks
[00:15:04 -> 00:15:06]  I haven't got any snacks
[00:15:09 -> 00:15:11]  Just stranded
[00:15:13 -> 00:15:15]  The photogrametry takes a while
[00:15:15 -> 00:15:17]  The sun has been miserable
[00:15:18 -> 00:15:20]  Um, i'd much rather have a nice
[00:15:21 -> 00:15:23]  overcast day
[00:15:23 -> 00:15:27]  Uh, and the wind as well when you've got a camera on the top of a very long pole
[00:15:27 -> 00:15:30]  It can get a bit blowy and it's difficult to
[00:15:31 -> 00:15:33]  Uh to hold it up straight
[00:15:34 -> 00:15:38]  What do you think the chances the wind will blow that tiny little cloud over?
[00:15:39 -> 00:15:41]  Fairly small
[00:15:41 -> 00:15:43]  But you end up with a
[00:15:44 -> 00:15:46]  very accurate
[00:15:46 -> 00:15:48]  Realistic model which
[00:15:48 -> 00:15:53]  You know, it's not just something that we can use but we can share with other people. It seems like a no-brainer
[00:15:54 -> 00:15:58]  I've done this so many times so many times and the only time
[00:16:00 -> 00:16:03]  Where I get stuck in a trench is when i'm being filmed
[00:16:16 -> 00:16:18]  So
[00:16:35 -> 00:16:38]  Getting a busy bee action shot, can you all type furiously?
[00:16:41 -> 00:16:43]  Thank you
[00:16:44 -> 00:16:51]  So this is the hub of activity that is oh, yeah social media wild keyboard spelling
[00:16:54 -> 00:16:56]  Fighting the trolls day by day
[00:16:58 -> 00:17:00]  You're killing them with kindness. Yeah
[00:17:02 -> 00:17:08]  I think just thinking that I could go through your tray if you want and throw out anything that you should ignore
[00:17:09 -> 00:17:13]  Because I think that especially smaller stones there are a lot in there at least they were in the other trays
[00:17:14 -> 00:17:18]  Usually there is always one or two fines at least in the fine string
[00:17:18 -> 00:17:23]  But the thing is because we work with volunteers and with people who might not have dug before and this is their first day
[00:17:24 -> 00:17:29]  It's better if they put stuff into the fines tray. That is nothing then to chuck it away because they're not sure
[00:17:29 -> 00:17:34]  But often it's also not easy to tell when you're in the trench if something's something
[00:17:34 -> 00:17:36]  So that's also why the fine stream is quite important
[00:17:36 -> 00:17:40]  Because that is where you then distinguish and sort out and say, okay
[00:17:41 -> 00:17:45]  Good bad good bad keep people actually
[00:17:45 -> 00:17:50]  I think many of them just come back and back to the fines room because of johanna. She's also just
[00:17:51 -> 00:17:58]  So positive she leaves us all these little sticky notes every every few days giving us like little words of inspiration and
[00:17:58 -> 00:18:01]  Saying what she likes about everyone on the team. It's so sweet
[00:18:07 -> 00:18:09]  So
[00:18:11 -> 00:18:18]  For me it's actually the people that we're working with for me. It's the community. It's the fact that I know that by
[00:18:18 -> 00:18:20]  offering this to people we're
[00:18:21 -> 00:18:27]  Making a change for them and they actually really like coming here and I like all the interaction. I like their enthusiasm
[00:18:29 -> 00:18:36]  I know of a lot of people who have actually told us that we more or less changed their lives in a way and
[00:18:36 -> 00:18:39]  some of these stories are really touching and
[00:18:40 -> 00:18:41]  it's just
[00:18:41 -> 00:18:46]  It's just nice to know that that you're doing that for people and you're not just sitting in front of a
[00:18:47 -> 00:18:49]  laptop all day
[00:18:49 -> 00:18:54]  When it comes to fines, I like the personal fines so last year we found the finger with the two rings on it
[00:18:56 -> 00:18:59]  Where you kind of your mind starts working
[00:19:02 -> 00:19:05]  If I touch the object never actually clean it then I get a connection to it
[00:19:05 -> 00:19:09]  Because you hold it for so long and you look at it so closely that you start thinking about it
[00:19:10 -> 00:19:14]  And once you start thinking about it, you start thinking about possible story story of the object
[00:19:14 -> 00:19:17]  Especially the story of the person who has held made
[00:19:19 -> 00:19:21]  Lost that object and
[00:19:21 -> 00:19:27]  now this year we found a skull that might have been hit by an
[00:19:27 -> 00:19:29]  Arrow or something
[00:19:29 -> 00:19:35]  Because it actually has two holes and one of them seems to be partially healed so that's quite interesting
[00:19:36 -> 00:19:40]  And this bit was also found by david just underneath the skull
[00:19:41 -> 00:19:43]  And apparently it could be some kind of a weapon
[00:19:44 -> 00:19:46]  Could be again. It's just
[00:19:46 -> 00:19:51]  One of the theories one of the little stories that we're thinking about when we're working with these fines
[00:19:54 -> 00:19:55]  So
[00:19:55 -> 00:19:57]  There you can see it looks almost as if it has a pointy end
[00:19:57 -> 00:20:03]  I don't need gold. I don't need swords. I just need stories
