[00:00:00 -> 00:00:01]  Well, welcome everyone.
[00:13:03 -> 00:13:07]  also provides a tip for the nursing student
[00:13:07 -> 00:13:09]  that provides some key information
[00:13:09 -> 00:13:11]  about the content of the question.
[00:13:12 -> 00:13:14]  So now we're gonna move on to the next slide
[00:13:14 -> 00:13:18]  and Angela is going to show you how to navigate and evolve.
[00:13:19 -> 00:13:22]  So you can get those pharmacology questions that you need.
[00:13:25 -> 00:13:28]  All right, so let me show you this here.
[00:13:28 -> 00:13:33]  So this shows you what the Evolve resource screen looks like
[00:13:34 -> 00:13:36]  and so once you get in here
[00:13:36 -> 00:13:40]  and you log in using your Evolve username and password,
[00:13:40 -> 00:13:41]  if you click study,
[00:13:41 -> 00:13:45]  this is the study mode that I was referring to earlier,
[00:13:45 -> 00:13:47]  you go to content area
[00:13:49 -> 00:13:51]  and then we're talking about pharmacology.
[00:13:51 -> 00:13:54]  So you hit the pharmacology dropdown
[00:13:54 -> 00:13:57]  and you can see that it's organized
[00:13:57 -> 00:14:00]  by body system for pharmacology.
[00:14:00 -> 00:14:03]  And then we also take it one step further
[00:14:03 -> 00:14:07]  and let's say you're working on cardiovascular medications
[00:14:07 -> 00:14:11]  and you're gonna be tested on anticoagulants
[00:14:11 -> 00:14:14]  and you're gonna be tested on beta blockers.
[00:14:14 -> 00:14:17]  So then you can see you've got 54 practice questions
[00:14:17 -> 00:14:21]  on those specific drug classifications
[00:14:21 -> 00:14:25]  and students have told us that that's quite helpful
[00:14:25 -> 00:14:28]  to be able to filter all the way down
[00:14:28 -> 00:14:30]  to the drug classification
[00:14:30 -> 00:14:34]  in terms of studying throughout their program.
[00:14:34 -> 00:14:37]  And then just another quick example here,
[00:14:37 -> 00:14:38]  let's say endocrine
[00:14:39 -> 00:14:41]  and then you're gonna be doing insulin
[00:14:41 -> 00:14:45]  and oral hypoglycemics for one of your exams.
[00:14:45 -> 00:14:47]  So you can just study questions
[00:14:47 -> 00:14:51]  on those specific medication classifications.
[00:14:51 -> 00:14:56]  If you have an exam that's just on an entire body system,
[00:14:56 -> 00:14:58]  then you could just focus on that as well.
[00:15:00 -> 00:15:05]  All right, so we're gonna jump back into our presentation
[00:15:06 -> 00:15:11]  and I'm gonna talk about a few very important things
[00:15:12 -> 00:15:15]  before we start on our practice questions.
[00:15:16 -> 00:15:20]  And we wanted to just remind you
[00:15:20 -> 00:15:25]  that we have a list of the top 100 prescribed medications
[00:15:25 -> 00:15:27]  in the United States.
[00:15:27 -> 00:15:30]  And this is located on the last page
[00:15:30 -> 00:15:32]  of the comprehensive review book.
[00:15:32 -> 00:15:35]  And so be sure to review this
[00:15:35 -> 00:15:38]  and be familiar with these medications.
[00:15:38 -> 00:15:40]  And one thing I do wanna mention here
[00:15:40 -> 00:15:45]  is that currently this list of the top 100 medications
[00:15:46 -> 00:15:51]  is in the NCLEX-RN comprehensive review book
[00:15:51 -> 00:15:54]  and it will be coming with the new edition
[00:15:54 -> 00:15:58]  of the comp review for the NCLEX-PN.
[00:15:58 -> 00:16:00]  So you'll be able to take advantage of that
[00:16:00 -> 00:16:02]  when the new edition comes out.
[00:16:03 -> 00:16:04]  All right, and then Linda,
[00:16:04 -> 00:16:06]  I think you're gonna pick up from here.
[00:16:08 -> 00:16:11]  Yes, this slide, we're very excited
[00:16:11 -> 00:16:15]  to announce the publication of our new app.
[00:16:15 -> 00:16:17]  So many students have been asking us
[00:16:17 -> 00:16:20]  for an app for a while now.
[00:16:20 -> 00:16:23]  And now we have the app to offer to you
[00:16:23 -> 00:16:27]  as a way to prepare for your exams and the NCLEX.
[00:16:27 -> 00:16:32]  And there are apps for both the RN and the PN resources.
[00:16:32 -> 00:16:34]  So we encourage you all to take a moment
[00:16:34 -> 00:16:38]  to download the Skyscape Saunders Review app
[00:16:38 -> 00:16:40]  that's best suited for you.
[00:16:40 -> 00:16:44]  And the QR code is here for you.
[00:16:44 -> 00:16:46]  So there's practice questions
[00:16:46 -> 00:16:49]  for all content areas on these apps.
[00:16:49 -> 00:16:52]  But what we have is a pharmacology example
[00:16:52 -> 00:16:54]  of what the app has to offer.
[00:16:54 -> 00:16:56]  So you can see how to navigate
[00:16:56 -> 00:17:00]  to the essential drugs from a list,
[00:17:00 -> 00:17:04]  from the Q&A for the RN app home screen,
[00:17:04 -> 00:17:08]  which will be the same process for any of the apps.
[00:17:08 -> 00:17:13]  So you can click on each drug to see a broken down summary
[00:17:13 -> 00:17:17]  of exactly what you will need to know on the NCLEX exam.
[00:17:17 -> 00:17:20]  And as we've shown here, we have albuterol.
[00:17:20 -> 00:17:25]  All of this information plus 400 practice questions
[00:17:25 -> 00:17:29]  are included with the free version of the app.
[00:17:29 -> 00:17:31]  Then you also have the option
[00:17:31 -> 00:17:33]  to purchase the full version of the app
[00:17:33 -> 00:17:36]  with thousands more practice questions
[00:17:36 -> 00:17:38]  and additional content.
[00:17:39 -> 00:17:43]  So as you can see, we've got lots of resources for you
[00:17:43 -> 00:17:48]  to prepare for your nursing exams and the NCLEX.
[00:17:48 -> 00:17:51]  So now we're gonna move on to some practice questions
[00:17:51 -> 00:17:53]  and I'm gonna turn this over to Angela.
[00:17:54 -> 00:17:57]  All right, let's jump right into this first practice question
[00:17:57 -> 00:18:00]  on atorvastatin.
[00:18:00 -> 00:18:01]  So I'll read the question first
[00:18:01 -> 00:18:03]  and then Jenna will open up the polling
[00:18:03 -> 00:18:06]  for you to practice the question.
[00:18:06 -> 00:18:08]  Atorvastatin has been prescribed
[00:18:08 -> 00:18:11]  and the nurse provides instructions to the client
[00:18:11 -> 00:18:12]  about the medication.
[00:18:13 -> 00:18:16]  Which statement by the client indicates the need
[00:18:16 -> 00:18:17]  for further teaching?
[00:18:17 -> 00:18:19]  So I'm gonna read it out loud for you.
[00:18:19 -> 00:18:22]  So this is the patient's statement.
[00:18:22 -> 00:18:24]  So the patient's statement says,
[00:18:24 -> 00:18:27]  one, this medication will lower my cholesterol level.
[00:18:27 -> 00:18:29]  Two, I need to have blood tests drawn
[00:18:29 -> 00:18:32]  while I'm taking this medication.
[00:18:32 -> 00:18:35]  Three, I won't need to be on a low fat diet
[00:18:35 -> 00:18:37]  as long as I take this medication faithfully.
[00:18:37 -> 00:18:40]  Or four, I need to talk to my doctor
[00:18:40 -> 00:18:43]  before taking any over-the-counter medications.
[00:18:48 -> 00:18:51]  Chose option three as the answer
[00:18:51 -> 00:18:53]  and that in fact is the correct answer.
[00:18:53 -> 00:18:55]  So very nice work on that.
[00:18:55 -> 00:18:57]  So going over this a little bit,
[00:18:57 -> 00:19:00]  atorvastatin is a reductase inhibitor
[00:19:00 -> 00:19:02]  that's used to treat high cholesterol
[00:19:02 -> 00:19:04]  and high triglyceride levels.
[00:19:04 -> 00:19:07]  The client's instructed to follow a recommended diet,
[00:19:07 -> 00:19:08]  usually a low fat diet
[00:19:08 -> 00:19:12]  as an important component of the therapy.
[00:19:12 -> 00:19:13]  Liver function tests
[00:19:13 -> 00:19:17]  and cholesterol and triglyceride level determinations
[00:19:17 -> 00:19:19]  will be performed periodically
[00:19:19 -> 00:19:22]  while they're taking this medication.
[00:19:22 -> 00:19:23]  And the client needs to be instructed
[00:19:23 -> 00:19:25]  to consult with the physician
[00:19:25 -> 00:19:28]  before taking any over-the-counter medications
[00:19:28 -> 00:19:29]  because of that potential
[00:19:29 -> 00:19:33]  for medication interactive effects to occur.
[00:19:33 -> 00:19:36]  And so it's really important to note the strategic words
[00:19:36 -> 00:19:40]  in the question, need for further teaching.
[00:19:40 -> 00:19:42]  This phrase indicates a negative event query
[00:19:42 -> 00:19:44]  and it asks you to select an option
[00:19:44 -> 00:19:47]  that is an incorrect client statement.
[00:19:47 -> 00:19:50]  So recalling the action of this medication
[00:19:50 -> 00:19:51]  and using general guidelines
[00:19:51 -> 00:19:53]  related to medication administration
[00:19:53 -> 00:19:56]  will help to direct you to option three
[00:19:56 -> 00:19:57]  as the correct option.
[00:19:58 -> 00:20:03]  And then we have our next question on nitroglycerin.
[00:20:04 -> 00:20:08]  This one happens to be a select all that apply question.
[00:20:08 -> 00:20:09]  And so I don't believe we'll be able
[00:20:09 -> 00:20:12]  to use the polling feature with this.
[00:20:12 -> 00:20:14]  Do you have a poll?
[00:20:14 -> 00:20:15]  Oh, we do have a poll.
[00:20:15 -> 00:20:16]  Excellent, nevermind.
[00:20:16 -> 00:20:19]  Disregard that, you can poll with this question.
[00:20:19 -> 00:20:20]  So I'll go ahead and read it first
[00:20:20 -> 00:20:21]  and then we'll open the poll.
[00:20:22 -> 00:20:25]  A hospitalized client with coronary artery disease
[00:20:25 -> 00:20:28]  complains of substernal chest pain.
[00:20:28 -> 00:20:31]  After assessing the client's heart rate and blood pressure,
[00:20:31 -> 00:20:33]  the nurse administers 0.4 milligrams
[00:20:33 -> 00:20:36]  of nitroglycerin sublingually.
[00:20:36 -> 00:20:38]  After five minutes, the client states,
[00:20:38 -> 00:20:40]  my chest still hurts.
[00:20:40 -> 00:20:42]  Which actions would the nurse take?
[00:20:42 -> 00:20:44]  Select all that apply.
[00:20:44 -> 00:20:46]  One, call a code blue.
[00:20:46 -> 00:20:48]  Two, contact the client's family.
[00:20:48 -> 00:20:51]  Three, assess the client's pain level.
[00:20:51 -> 00:20:54]  Four, check the client's blood pressure.
[00:20:54 -> 00:20:56]  Five, contact the primary healthcare provider.
[00:20:56 -> 00:20:59]  And six, administer a second nitroglycerin,
[00:20:59 -> 00:21:02]  0.4 milligrams sublingually.
[00:21:02 -> 00:21:04]  All right, let's see how you did here.
[00:21:04 -> 00:21:07]  So I'll start by telling you guys what the answer is.
[00:21:07 -> 00:21:09]  The answer is gonna be option three,
[00:21:09 -> 00:21:12]  assess the client's pain level.
[00:21:12 -> 00:21:15]  Then option four, check the client's blood pressure.
[00:21:15 -> 00:21:19]  And option six, administer a second nitroglycerin.
[00:21:19 -> 00:21:22]  So it looks like about 90% went with option three,
[00:21:22 -> 00:21:24]  89% went with option four.
[00:21:24 -> 00:21:25]  And then option five,
[00:21:25 -> 00:21:27]  check the patient's blood pressure.
[00:21:27 -> 00:21:31]  And option six, administer a second nitroglycerin.
[00:21:31 -> 00:21:33]  So it looks like 89% with option four
[00:21:33 -> 00:21:35]  and then 82% with option six.
[00:21:35 -> 00:21:38]  And then also option five did seem to be
[00:21:38 -> 00:21:41]  an attractive option as well at 45%.
[00:21:41 -> 00:21:44]  So let's talk about this a little more.
[00:21:44 -> 00:21:47]  First, the usual guidelines for administering nitroglycerin
[00:21:47 -> 00:21:51]  to a hospitalized client includes administering one tablet
[00:21:51 -> 00:21:54]  every five minutes as needed for chest pain
[00:21:54 -> 00:21:57]  for a total amount of three tablets.
[00:21:57 -> 00:22:00]  If the client does not obtain relief
[00:22:00 -> 00:22:02]  after taking a third dose of nitroglycerin,
[00:22:02 -> 00:22:07]  that's when the healthcare provider needs to be notified.
[00:22:07 -> 00:22:09]  Because they're still complaining of chest pain,
[00:22:09 -> 00:22:12]  the nurse would administer a second tablet
[00:22:12 -> 00:22:13]  and then would assess their pain level
[00:22:13 -> 00:22:15]  and check their blood pressure
[00:22:15 -> 00:22:17]  before administering each dose
[00:22:17 -> 00:22:21]  because of the fact that it can cause hypotension.
[00:22:21 -> 00:22:22]  There's no data in the question
[00:22:22 -> 00:22:25]  that indicates the need to call a code blue.
[00:22:25 -> 00:22:26]  And then in addition,
[00:22:26 -> 00:22:29]  it's not necessary to contact the client's family
[00:22:29 -> 00:22:31]  unless they've requested this.
[00:22:31 -> 00:22:34]  And so when answering select all that apply questions,
[00:22:34 -> 00:22:38]  you want to use the yes or no approach for each option,
[00:22:38 -> 00:22:41]  focusing on the data in the question,
[00:22:41 -> 00:22:45]  using the yes, no approach as you read each option.
[00:22:45 -> 00:22:47]  And then for this particular question,
[00:22:47 -> 00:22:50]  you can also use the steps of the nursing process
[00:22:50 -> 00:22:53]  to determine that assessing the client's pain level
[00:22:53 -> 00:22:57]  and checking their blood pressure are appropriate actions.
[00:22:57 -> 00:23:00]  And then recalling the usual guidelines
[00:23:00 -> 00:23:02]  for administering nitroglycerin tablets
[00:23:02 -> 00:23:06]  will also assist you in determining an appropriate action
